Record Number,Game Name,Platform,Publishor/Developer,Type,Year,Average Rating,Console Generation
15020,Tetrix,PC,Hachette Multimedia,Puzzle-Game,2005,5,Computer
16629,Unearthed: Trail of Ibn Battuta - Episode 1,Mac,Semaphore,Action Aventure Plate-Forme,2013,5,Computer
4612,Euro Club Manager 2005-2006,PC,Anuman Interactive Wayward XS,Simulation Sport,2006,5,Computer
955,Auryn Quest,PC,Emme Discreet Monsters,Aventure,2003,6,Computer
359,Alcatraz: Prison Escape,PC,Zombie Activision Value Publishing,Action,2004,8.25,Computer
3306,Days of Thunder,Nes,Mindscape Creative Materials Tiertex Design St...,Course,1990,52.5,Gen_3
930,Attack of the Killer Tomatoes,Nes,THQ Global Software Imagineering Inc,Action Plate-Forme,1986,52,Gen_3
4005,Dragon Power,Nes,Bandai,Action Aventure,1988,36,Gen_3
5327,Fisher-Price Firehouse Rescue,Nes,GameTek,Action,1988,23.25,Gen_3
13523,Soccer,Nes,Nintendo,Sport,1987,50,Gen_3
15139,The Cyber Shinobi,MS,Sega,Action Plate-Forme,1990,44.25,Gen_4
542,Andre Agassi Tennis,MS,Tecmagik Lance Investments,Sport,1993,25,Gen_4
6874,Indiana Jones and the Last Crusade: The Action...,MS,Ubisoft NMS Software US Gold LucasArts Tiertex...,Action Plate-Forme,1989,30,Gen_4
7054,James Bond Jr,SNES,Capcom Gray Matter THQ Eurocom,Action Plate-Forme,1992,29.25,Gen_4
16593,Ultraman,SNES,Bandai,Action,1991,15,Gen_4
11599,Racing,PS1,Midas Interactive Tamsoft,Course,2003,10.75,Gen_5
16694,R:Racing Evolution,PS1,Infogrames Davilex,Course,2002,20.75,Gen_5
6727,Garden Wars,PS1,ITE Media,Plate-Forme,2003,20.75,Gen_5
17610,XS Junior League Soccer,PS1,XS Games Wahoo Studios,Gestion Sport,2004,21.25,Gen_5
1920,Bubsy 3D,PS1,Accolade,Action Plate-Forme,1997,13,Gen_5
2576,City Soccer Challenge,PS2,Phoenix Games Data Design Interactive,Sport,2006,3.75,Gen_6
13970,Sprint Car Challenge,PS2,Oxygen Liquid Games,Course,2007,7.5,Gen_6
9151,Maze Action,PS2,Agetec Bigben Interactive,Action,2004,8.75,Gen_6
12861,Search,PS2,Phoenix Games Mere Mortals,Shoot'em Up,2006,8.5,Gen_6
7000,Iron Sea,PS2,Tamsoft 505 Games,Tir,2006,7.5,Gen_6
3835,GTS Racing Challenge,Wii,EM Studios Funbox Media,Course,2011,10,Gen_7
6613,The History Channel: Battle for the Pacific,PS3,Magic Wand Cauldron Activision,FPS,2008,10,Gen_7
1173,Battle: Los Angeles,PS3,Konami Saber Interactive,FPS,2011,10,Gen_7
16628,Unearthed: Trail of Ibn Battuta - Episode 1,PS3,Semaphore,Action Aventure Plate-Forme,2013,5,Gen_7
11003,Pékin Express : La Route des Dragons,Wii,Mindscape Yullaby,Course Party-Game,2009,9.5,Gen_7
6696,Hot Wheels: World's Best Driver,WiiU,Warner Bros Games,Course,2013,25,Gen_8
251,Spider-Man 2: Enter: Electro,PC PS4 ONE,Versus Evil Redacted Studios,Action Beat'em All,2015,24.25,Gen_8
4912,Family Party: 30 Great Games - Obstacle Arcade,WiiU,D3 Publisher Art Co. Ltd.,Party-Game,2012,14.5,Gen_8
5710,Game Party: Champions,WiiU,Warner Interactive Phosphor Games Studio,Party-Game,2012,15.75,Gen_8
12051,Real Farm,PC PS4 ONE,Soedesco,Simulation,2017,23.75,Gen_8
6358,Harlem Globetrotters: World Tour,DS,Destination Software Full Fat KOCH Media,Sport,2007,9.75,Handheld
6682,Hospital,DS,Nobilis Creative Patterns,Gestion,2010,9.5,Handheld
9674,Monster 4x4 3D,3DS,Ubisoft Ubisoft Pune,Course,2012,7.75,Handheld
12841,Scrabble Blast!,GBA,Zoo Digital DSI Games,Réflexion Jeu de société,2006,7.5,Handheld
944,ATV: Thunder Ridge Riders,DS,Zoo Digital,Course,2007,3.75,Handheld
17446,WWE Aftershock,NGAGE,THQ,Combat Sport,2005,21.25,Mobile
1484,Granny and the Gators,iOS,RoboNacho Systems,Adresse,2011,20,Mobile
7165,Kutar Jump Rope,iOS,K.K. Amuzenet,Autres,2011,17.5,Mobile
16857,Virtual League Baseball,iOS,Elephant Soft,Autres,2012,25,Mobile
5194,Final Fantasy: All The Bravest,iOS,Square Enix BitGroove,Action RPG,2013,27.25,Mobile
514,American Heroes Collection,NaN,NaN,NaN,NaN,5,NaN
898,Atari: Anniversary Advance,NaN,NaN,NaN,NaN,10,NaN
899,Atari Masterpieces Vol. I,NaN,NaN,NaN,NaN,10,NaN
12263,Retro Atari Classics,NaN,NaN,NaN,NaN,10,NaN
900,Atari Masterpieces Vol. I,NaN,NaN,NaN,NaN,10,NaN
