GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Civilian employed population 16 years and over
HC01_MOE_VC01,Total; Margin of Error; Civilian employed population 16 years and over
HC02_EST_VC01,Employee of private company workers; Estimate; Civilian employed population 16 years and over
HC02_MOE_VC01,Employee of private company workers; Margin of Error; Civilian employed population 16 years and over
HC03_EST_VC01,Self-employed in own incorporated business workers; Estimate; Civilian employed population 16 years and over
HC03_MOE_VC01,Self-employed in own incorporated business workers; Margin of Error; Civilian employed population 16 years and over
HC04_EST_VC01,Private not-for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over
HC04_MOE_VC01,Private not-for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over
HC05_EST_VC01,"Local, state, and federal government workers; Estimate; Civilian employed population 16 years and over"
HC05_MOE_VC01,"Local, state, and federal government workers; Margin of Error; Civilian employed population 16 years and over"
HC06_EST_VC01,Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Civilian employed population 16 years and over
HC06_MOE_VC01,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Civilian employed population 16 years and over
HC01_EST_VC02,"Total; Estimate; Agriculture, forestry, fishing and hunting, and mining"
HC01_MOE_VC02,"Total; Margin of Error; Agriculture, forestry, fishing and hunting, and mining"
HC02_EST_VC02,"Employee of private company workers; Estimate; Agriculture, forestry, fishing and hunting, and mining"
HC02_MOE_VC02,"Employee of private company workers; Margin of Error; Agriculture, forestry, fishing and hunting, and mining"
HC03_EST_VC02,"Self-employed in own incorporated business workers; Estimate; Agriculture, forestry, fishing and hunting, and mining"
HC03_MOE_VC02,"Self-employed in own incorporated business workers; Margin of Error; Agriculture, forestry, fishing and hunting, and mining"
HC04_EST_VC02,"Private not-for-profit wage and salary workers; Estimate; Agriculture, forestry, fishing and hunting, and mining"
HC04_MOE_VC02,"Private not-for-profit wage and salary workers; Margin of Error; Agriculture, forestry, fishing and hunting, and mining"
HC05_EST_VC02,"Local, state, and federal government workers; Estimate; Agriculture, forestry, fishing and hunting, and mining"
HC05_MOE_VC02,"Local, state, and federal government workers; Margin of Error; Agriculture, forestry, fishing and hunting, and mining"
HC06_EST_VC02,"Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Agriculture, forestry, fishing and hunting, and mining"
HC06_MOE_VC02,"Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Agriculture, forestry, fishing and hunting, and mining"
HC01_EST_VC03,Total; Estimate; Construction
HC01_MOE_VC03,Total; Margin of Error; Construction
HC02_EST_VC03,Employee of private company workers; Estimate; Construction
HC02_MOE_VC03,Employee of private company workers; Margin of Error; Construction
HC03_EST_VC03,Self-employed in own incorporated business workers; Estimate; Construction
HC03_MOE_VC03,Self-employed in own incorporated business workers; Margin of Error; Construction
HC04_EST_VC03,Private not-for-profit wage and salary workers; Estimate; Construction
HC04_MOE_VC03,Private not-for-profit wage and salary workers; Margin of Error; Construction
HC05_EST_VC03,"Local, state, and federal government workers; Estimate; Construction"
HC05_MOE_VC03,"Local, state, and federal government workers; Margin of Error; Construction"
HC06_EST_VC03,Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Construction
HC06_MOE_VC03,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Construction
HC01_EST_VC04,Total; Estimate; Manufacturing
HC01_MOE_VC04,Total; Margin of Error; Manufacturing
HC02_EST_VC04,Employee of private company workers; Estimate; Manufacturing
HC02_MOE_VC04,Employee of private company workers; Margin of Error; Manufacturing
HC03_EST_VC04,Self-employed in own incorporated business workers; Estimate; Manufacturing
HC03_MOE_VC04,Self-employed in own incorporated business workers; Margin of Error; Manufacturing
HC04_EST_VC04,Private not-for-profit wage and salary workers; Estimate; Manufacturing
HC04_MOE_VC04,Private not-for-profit wage and salary workers; Margin of Error; Manufacturing
HC05_EST_VC04,"Local, state, and federal government workers; Estimate; Manufacturing"
HC05_MOE_VC04,"Local, state, and federal government workers; Margin of Error; Manufacturing"
HC06_EST_VC04,Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Manufacturing
HC06_MOE_VC04,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Manufacturing
HC01_EST_VC05,Total; Estimate; Wholesale trade
HC01_MOE_VC05,Total; Margin of Error; Wholesale trade
HC02_EST_VC05,Employee of private company workers; Estimate; Wholesale trade
HC02_MOE_VC05,Employee of private company workers; Margin of Error; Wholesale trade
HC03_EST_VC05,Self-employed in own incorporated business workers; Estimate; Wholesale trade
HC03_MOE_VC05,Self-employed in own incorporated business workers; Margin of Error; Wholesale trade
HC04_EST_VC05,Private not-for-profit wage and salary workers; Estimate; Wholesale trade
HC04_MOE_VC05,Private not-for-profit wage and salary workers; Margin of Error; Wholesale trade
HC05_EST_VC05,"Local, state, and federal government workers; Estimate; Wholesale trade"
HC05_MOE_VC05,"Local, state, and federal government workers; Margin of Error; Wholesale trade"
HC06_EST_VC05,Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Wholesale trade
HC06_MOE_VC05,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Wholesale trade
HC01_EST_VC06,Total; Estimate; Retail trade
HC01_MOE_VC06,Total; Margin of Error; Retail trade
HC02_EST_VC06,Employee of private company workers; Estimate; Retail trade
HC02_MOE_VC06,Employee of private company workers; Margin of Error; Retail trade
HC03_EST_VC06,Self-employed in own incorporated business workers; Estimate; Retail trade
HC03_MOE_VC06,Self-employed in own incorporated business workers; Margin of Error; Retail trade
HC04_EST_VC06,Private not-for-profit wage and salary workers; Estimate; Retail trade
HC04_MOE_VC06,Private not-for-profit wage and salary workers; Margin of Error; Retail trade
HC05_EST_VC06,"Local, state, and federal government workers; Estimate; Retail trade"
HC05_MOE_VC06,"Local, state, and federal government workers; Margin of Error; Retail trade"
HC06_EST_VC06,Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Retail trade
HC06_MOE_VC06,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Retail trade
HC01_EST_VC07,"Total; Estimate; Transportation and warehousing, and utilities"
HC01_MOE_VC07,"Total; Margin of Error; Transportation and warehousing, and utilities"
HC02_EST_VC07,"Employee of private company workers; Estimate; Transportation and warehousing, and utilities"
HC02_MOE_VC07,"Employee of private company workers; Margin of Error; Transportation and warehousing, and utilities"
HC03_EST_VC07,"Self-employed in own incorporated business workers; Estimate; Transportation and warehousing, and utilities"
HC03_MOE_VC07,"Self-employed in own incorporated business workers; Margin of Error; Transportation and warehousing, and utilities"
HC04_EST_VC07,"Private not-for-profit wage and salary workers; Estimate; Transportation and warehousing, and utilities"
HC04_MOE_VC07,"Private not-for-profit wage and salary workers; Margin of Error; Transportation and warehousing, and utilities"
HC05_EST_VC07,"Local, state, and federal government workers; Estimate; Transportation and warehousing, and utilities"
HC05_MOE_VC07,"Local, state, and federal government workers; Margin of Error; Transportation and warehousing, and utilities"
HC06_EST_VC07,"Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Transportation and warehousing, and utilities"
HC06_MOE_VC07,"Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Transportation and warehousing, and utilities"
HC01_EST_VC08,Total; Estimate; Information
HC01_MOE_VC08,Total; Margin of Error; Information
HC02_EST_VC08,Employee of private company workers; Estimate; Information
HC02_MOE_VC08,Employee of private company workers; Margin of Error; Information
HC03_EST_VC08,Self-employed in own incorporated business workers; Estimate; Information
HC03_MOE_VC08,Self-employed in own incorporated business workers; Margin of Error; Information
HC04_EST_VC08,Private not-for-profit wage and salary workers; Estimate; Information
HC04_MOE_VC08,Private not-for-profit wage and salary workers; Margin of Error; Information
HC05_EST_VC08,"Local, state, and federal government workers; Estimate; Information"
HC05_MOE_VC08,"Local, state, and federal government workers; Margin of Error; Information"
HC06_EST_VC08,Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Information
HC06_MOE_VC08,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Information
HC01_EST_VC09,"Total; Estimate; Finance and insurance, and real estate and rental and leasing"
HC01_MOE_VC09,"Total; Margin of Error; Finance and insurance, and real estate and rental and leasing"
HC02_EST_VC09,"Employee of private company workers; Estimate; Finance and insurance, and real estate and rental and leasing"
HC02_MOE_VC09,"Employee of private company workers; Margin of Error; Finance and insurance, and real estate and rental and leasing"
HC03_EST_VC09,"Self-employed in own incorporated business workers; Estimate; Finance and insurance, and real estate and rental and leasing"
HC03_MOE_VC09,"Self-employed in own incorporated business workers; Margin of Error; Finance and insurance, and real estate and rental and leasing"
HC04_EST_VC09,"Private not-for-profit wage and salary workers; Estimate; Finance and insurance, and real estate and rental and leasing"
HC04_MOE_VC09,"Private not-for-profit wage and salary workers; Margin of Error; Finance and insurance, and real estate and rental and leasing"
HC05_EST_VC09,"Local, state, and federal government workers; Estimate; Finance and insurance, and real estate and rental and leasing"
HC05_MOE_VC09,"Local, state, and federal government workers; Margin of Error; Finance and insurance, and real estate and rental and leasing"
HC06_EST_VC09,"Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Finance and insurance, and real estate and rental and leasing"
HC06_MOE_VC09,"Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Finance and insurance, and real estate and rental and leasing"
HC01_EST_VC10,"Total; Estimate; Professional, scientific, and management, and administrative and waste management services"
HC01_MOE_VC10,"Total; Margin of Error; Professional, scientific, and management, and administrative and waste management services"
HC02_EST_VC10,"Employee of private company workers; Estimate; Professional, scientific, and management, and administrative and waste management services"
HC02_MOE_VC10,"Employee of private company workers; Margin of Error; Professional, scientific, and management, and administrative and waste management services"
HC03_EST_VC10,"Self-employed in own incorporated business workers; Estimate; Professional, scientific, and management, and administrative and waste management services"
HC03_MOE_VC10,"Self-employed in own incorporated business workers; Margin of Error; Professional, scientific, and management, and administrative and waste management services"
HC04_EST_VC10,"Private not-for-profit wage and salary workers; Estimate; Professional, scientific, and management, and administrative and waste management services"
HC04_MOE_VC10,"Private not-for-profit wage and salary workers; Margin of Error; Professional, scientific, and management, and administrative and waste management services"
HC05_EST_VC10,"Local, state, and federal government workers; Estimate; Professional, scientific, and management, and administrative and waste management services"
HC05_MOE_VC10,"Local, state, and federal government workers; Margin of Error; Professional, scientific, and management, and administrative and waste management services"
HC06_EST_VC10,"Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Professional, scientific, and management, and administrative and waste management services"
HC06_MOE_VC10,"Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Professional, scientific, and management, and administrative and waste management services"
HC01_EST_VC11,"Total; Estimate; Educational services, and health care and social assistance"
HC01_MOE_VC11,"Total; Margin of Error; Educational services, and health care and social assistance"
HC02_EST_VC11,"Employee of private company workers; Estimate; Educational services, and health care and social assistance"
HC02_MOE_VC11,"Employee of private company workers; Margin of Error; Educational services, and health care and social assistance"
HC03_EST_VC11,"Self-employed in own incorporated business workers; Estimate; Educational services, and health care and social assistance"
HC03_MOE_VC11,"Self-employed in own incorporated business workers; Margin of Error; Educational services, and health care and social assistance"
HC04_EST_VC11,"Private not-for-profit wage and salary workers; Estimate; Educational services, and health care and social assistance"
HC04_MOE_VC11,"Private not-for-profit wage and salary workers; Margin of Error; Educational services, and health care and social assistance"
HC05_EST_VC11,"Local, state, and federal government workers; Estimate; Educational services, and health care and social assistance"
HC05_MOE_VC11,"Local, state, and federal government workers; Margin of Error; Educational services, and health care and social assistance"
HC06_EST_VC11,"Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Educational services, and health care and social assistance"
HC06_MOE_VC11,"Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Educational services, and health care and social assistance"
HC01_EST_VC12,"Total; Estimate; Arts, entertainment, and recreation, and accommodation and food services"
HC01_MOE_VC12,"Total; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services"
HC02_EST_VC12,"Employee of private company workers; Estimate; Arts, entertainment, and recreation, and accommodation and food services"
HC02_MOE_VC12,"Employee of private company workers; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services"
HC03_EST_VC12,"Self-employed in own incorporated business workers; Estimate; Arts, entertainment, and recreation, and accommodation and food services"
HC03_MOE_VC12,"Self-employed in own incorporated business workers; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services"
HC04_EST_VC12,"Private not-for-profit wage and salary workers; Estimate; Arts, entertainment, and recreation, and accommodation and food services"
HC04_MOE_VC12,"Private not-for-profit wage and salary workers; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services"
HC05_EST_VC12,"Local, state, and federal government workers; Estimate; Arts, entertainment, and recreation, and accommodation and food services"
HC05_MOE_VC12,"Local, state, and federal government workers; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services"
HC06_EST_VC12,"Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Arts, entertainment, and recreation, and accommodation and food services"
HC06_MOE_VC12,"Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services"
HC01_EST_VC13,"Total; Estimate; Other services, except public administration"
HC01_MOE_VC13,"Total; Margin of Error; Other services, except public administration"
HC02_EST_VC13,"Employee of private company workers; Estimate; Other services, except public administration"
HC02_MOE_VC13,"Employee of private company workers; Margin of Error; Other services, except public administration"
HC03_EST_VC13,"Self-employed in own incorporated business workers; Estimate; Other services, except public administration"
HC03_MOE_VC13,"Self-employed in own incorporated business workers; Margin of Error; Other services, except public administration"
HC04_EST_VC13,"Private not-for-profit wage and salary workers; Estimate; Other services, except public administration"
HC04_MOE_VC13,"Private not-for-profit wage and salary workers; Margin of Error; Other services, except public administration"
HC05_EST_VC13,"Local, state, and federal government workers; Estimate; Other services, except public administration"
HC05_MOE_VC13,"Local, state, and federal government workers; Margin of Error; Other services, except public administration"
HC06_EST_VC13,"Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Other services, except public administration"
HC06_MOE_VC13,"Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Other services, except public administration"
HC01_EST_VC14,Total; Estimate; Public administration
HC01_MOE_VC14,Total; Margin of Error; Public administration
HC02_EST_VC14,Employee of private company workers; Estimate; Public administration
HC02_MOE_VC14,Employee of private company workers; Margin of Error; Public administration
HC03_EST_VC14,Self-employed in own incorporated business workers; Estimate; Public administration
HC03_MOE_VC14,Self-employed in own incorporated business workers; Margin of Error; Public administration
HC04_EST_VC14,Private not-for-profit wage and salary workers; Estimate; Public administration
HC04_MOE_VC14,Private not-for-profit wage and salary workers; Margin of Error; Public administration
HC05_EST_VC14,"Local, state, and federal government workers; Estimate; Public administration"
HC05_MOE_VC14,"Local, state, and federal government workers; Margin of Error; Public administration"
HC06_EST_VC14,Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Public administration
HC06_MOE_VC14,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Public administration
HC01_EST_VC17,Total; Estimate; PERCENT IMPUTED - Industry
HC01_MOE_VC17,Total; Margin of Error; PERCENT IMPUTED - Industry
HC02_EST_VC17,Employee of private company workers; Estimate; PERCENT IMPUTED - Industry
HC02_MOE_VC17,Employee of private company workers; Margin of Error; PERCENT IMPUTED - Industry
HC03_EST_VC17,Self-employed in own incorporated business workers; Estimate; PERCENT IMPUTED - Industry
HC03_MOE_VC17,Self-employed in own incorporated business workers; Margin of Error; PERCENT IMPUTED - Industry
HC04_EST_VC17,Private not-for-profit wage and salary workers; Estimate; PERCENT IMPUTED - Industry
HC04_MOE_VC17,Private not-for-profit wage and salary workers; Margin of Error; PERCENT IMPUTED - Industry
HC05_EST_VC17,"Local, state, and federal government workers; Estimate; PERCENT IMPUTED - Industry"
HC05_MOE_VC17,"Local, state, and federal government workers; Margin of Error; PERCENT IMPUTED - Industry"
HC06_EST_VC17,Self-employed in own not incorporated business workers and unpaid family workers; Estimate; PERCENT IMPUTED - Industry
HC06_MOE_VC17,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; PERCENT IMPUTED - Industry
