year,acs_ind_name,acs_ind,geo_name,geo,num_emp,num_emp_moe,num_emp_rca
2014.0,"Agriculture, Forestry, Fishing, Hunting","0000","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",1590.0,768.427,0.414874
2014.0,"Mining, Quarrying, Oil, Gas Extraction","0001","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",458.0,486.966,0.236044
2014.0,"Construction","0100","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",22612.0,2889.29,0.938685
2014.0,"Manufacturing","020x","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",70226.0,4255.93,1.8345
2014.0,"Wholesale trade","030x","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",15808.0,2210.94,1.44804
2014.0,"Retail trade","040x","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",45191.0,3410.59,1.00631
2014.0,"Transportation & Warehousing","0500","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",12384.0,2113.16,0.771623
2014.0,"Utilities","0501","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",3341.0,844.654,1.09292
2014.0,"Information","060x","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",5777.0,1367.36,0.65269
2014.0,"Finance & Insurance","0700","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",12979.0,1764.06,0.699253
2014.0,"Real Estate, Rental & Leasing","0701","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",5554.0,1204.4,0.717929
2014.0,"Professional, Scientific, Tech Services","0800","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",23416.0,2394.46,0.85008
2014.0,"Management of Companies & Enterprises","0801","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",281.0,218.083,0.986238
2014.0,"Admin., Support, Waste Management Services","0802","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",18119.0,2473.54,1.0315
2014.0,"Educational Services","0900","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",35379.0,2970.77,0.984729
2014.0,"Healthcare & Social Assistance","0901","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",47545.0,3362.28,0.886552
