Title,Year,Size,Materials and Medium,Series ,Link to Image
Emergency,2014,2438 x 2134 mm | 96 x 84 in,Flexible retroreflective and fluorescent non-reflective PVC vinyl on canvas,Emergency Paintings,http://damienhirst.com/images/hirstimage/Emergency_1_771_0.jpg
Trauma,2016,305 x 305 mm | 12 x 12 in,Flexible PVC vehicle vinyl and lacquer on canvas,Emergency Paintings,http://damienhirst.com/images/hirstimage/Trauma_1_771_0.jpg
Police,2014,2438 x 2134 mm | 96 x 84 in,Flexible crystal grade micro prismatic vinyl on canvas,Emergency Paintings,http://damienhirst.com/images/hirstimage/Police_1_771_0.jpg
Up,2015,305 x 305 mm | 12 x 12 in,Flexible crystal grade micro prismatic vinyl on canvas,Emergency Paintings,http://damienhirst.com/images/hirstimage/Up_1_771_0.jpg
Injury,2016,130 x 565 mm | 5.1 x 22.2 in,Flexible crystal grade micro prismatic vinyl and flexible PVC vehicle vinyl on canvas,Emergency Paintings,http://damienhirst.com/images/hirstimage/Injury_1_1440_0.jpg
Hospital,2015,2438 x 2134 mm | 96 x 84 in,Gloss paint on canvas,Emergency Paintings,http://damienhirst.com/images/hirstimage/Hospital_1_771_0.jpg
Climax,2016,305 x 305 mm | 12 x 12 in,Flexible PVC vehicle vinyl on canvas,Emergency Paintings,http://damienhirst.com/images/hirstimage/Climax_1_1440_0.jpg 
Cocaine,2016,1499 x 2388 mm 59 x 94 in ,Household gloss on canvas,None,http://damienhirst.com/images/hirstimage/CS225_1_1440_0.jpg
Blue Blood,2016,2438  x 3048 mm 96 x 120 in ,Household gloss on canvas,Colour Space,http://damienhirst.com/images/hirstimage/CS214_1_1440_0.jpg
Tudor Rose,2016,610 x 813 mm 24 x 32 in ,Household gloss on canvas,Colour Space,http://damienhirst.com/images/hirstimage/CS113_1_1440_0.jpg
Euphorbia,2016,406 x 610 mm 16 x 24 in ,Household gloss on canvas,Colour Space,http://damienhirst.com/images/hirstimage/CS205_1_1440_0.jpg
Kansas City Teal,2016,2438 x 3048 mm 96 x 120 in ,Household gloss on canvas,Colour Space,http://damienhirst.com/images/hirstimage/CS163_1_1440_0.jpg
Opus,2016,610 x 813 mm 24 x 32 in ,Household gloss on canvas,Colour Space,http://damienhirst.com/images/hirstimage/CS57_3_1440_0.jpg
Ashley,2016,1524 x 1524 mm 60 x 60 in ,Household gloss on canvas,Colour Space,http://damienhirst.com/images/hirstimage/CS139_1_771_0.jpg
Roddy,2016,1524 x 1524 mm 60 x 60 in,Household gloss on canvas,Colour Space,http://damienhirst.com/images/hirstimage/CS140_1_771_0.jpg
Diva,2016,1499 x 2388 mm 59 x 94 in,Household gloss on canvas,Colour Space,http://damienhirst.com/images/hirstimage/CS12_1_1440_0.jpg
Earth,2016,406 x 610 mm 16 x 24 in ,Household gloss on canvas,Colour Space,http://damienhirst.com/images/hirstimage/CS121_1_1440_0.jpg
Euphorbia,2016,406 x 610 mm 16 x 24 in ,Household gloss on canvas,Colour Space,http://damienhirst.com/images/hirstimage/CS205_1_1440_0.jpg
Trinket,2016,610 x 813 mm 24 x 32 in,Household gloss on canvas,Colour Space,http://damienhirst.com/images/hirstimage/CS111_1_1440_0.jpg
Cocaine,2016,1499 x 2388 mm 59 x 94 in ,Household gloss on canvas,None,http://damienhirst.com/images/hirstimage/CS225_1_1440_0.jpg
Kansas City Teal,2016,2438 x 3048 mm 96 x 120 in ,Household gloss on canvas,Colour Space,http://damienhirst.com/images/hirstimage/CS163_1_1440_0.jpg
Fresh Air,2016,406 x 610 mm 16 x 24 in ,Household gloss on canvas,Colour Space,http://damienhirst.com/images/hirstimage/CS28_1_1440_0.jpg
Polar White,2016,1372 x 914 mm 54 x 36 in,Household gloss on canvas,Colour Space,http://damienhirst.com/images/hirstimage/CS194_1_771_0.jpg
Spectrum,2016,914 x 1372 mm 36 x 54 in ,Household gloss on canvas,Colour Space,http://damienhirst.com/images/hirstimage/CS149_1_1440_0.jpg
The Word,1996,1105 x 1627 x 647 mm 43.5 x 64.1 x 25.5 in,"Glass, painted stainless steel, silicone, acrylic, plastic cable ties, sheep and formaldehyde solution",Formaldehyde,http://damienhirst.com/images/hirstimage/DHS3598v1_1_1440_0.jpg
Veil of Perfect Harmony,2017,3048 x 2286 mm 120 x 90 in ,Oil on canvas,Veil Paintings,http://damienhirst.com/images/hirstimage/VeilofPerfectHarmony_1_771_0.jpg
Veil of Memories,2017,1219  x 914 mm 48 x 36 in ,Oil on canvas,Veil Paintings,http://damienhirst.com/images/hirstimage/VeilofMemories_1_771_0.jpg
Veil of Secrecy,2017,1372 x 914 mm 54 x 36 in ,Oil on canvas,Veil Paintings,http://damienhirst.com/images/hirstimage/VeilofSecrecy_1_771_0.jpg
Veil of Grace,2017,1372 x 914 mm 54 x 36 in ,Oil on canvas,Veil Paintings,http://damienhirst.com/images/hirstimage/VeilofGrace_1_771_0.jpg
Veil of Dawn,2017,1372 x 914 mm 54 x 36 in ,Oil on canvas,Veil Paintings,http://damienhirst.com/images/hirstimage/VeilofDawn_1_771_0.jpg
Veil of Morality,2017,1829 x 1219 mm 72 x 48 in ,Oil on canvas,Veil Paintings,http://damienhirst.com/images/hirstimage/VeilofMorality_1_771_0.jpg
Veil of Kindness,2017,3048  x 2438 mm 120 x 96 in ,Oil on canvas,Veil Paintings,http://damienhirst.com/images/hirstimage/VeilofKindness_1_771_0.jpg
Veil of Simplicity,2017,1829 x 1219 mm 72 x 48 in,Oil on canvas,Veil Paintings,http://damienhirst.com/images/hirstimage/VeilofSimplicity_1_771_0.jpg
Veil of Illusions,2017,1143 x 1067 mm 45 x 42 in ,Oil on canvas,Veil Paintings,http://damienhirst.com/images/hirstimage/VeilofIllusions_1_771_0.jpg
Veil of Endless Joy,2017,2743 x 1829 mm 108 x 72 in,Oil on canvas,Veil Paintings,http://damienhirst.com/images/hirstimage/VeilofEndelssJoy_1_771_0.jpg
Veil of Passion,2017,1372 x 914 mm 54 x 36 in ,Oil on canvas,Veil Paintings,http://damienhirst.com/images/hirstimage/VeilofPassion_1_771_0.jpg
Veil of Inner Peace,2017,3048 x 2286 mm 120 x 90 in,Oil on canvas,Veil Paintings,http://damienhirst.com/images/hirstimage/VeilofInnerPeace_1_771_0.jpg
Veil of Serendipity,2017,1676 x 1143 mm 66 x 45 in ,Oil on canvas,Veil Paintings,http://damienhirst.com/images/hirstimage/VeilofSerendipity_1_771_0.jpg
Veil of Unfolding Life,2017,2743 x 1829 mm 108 x 72 in,Oil on canvas,Veil Paintings,http://damienhirst.com/images/hirstimage/VeilofUnfoldingLife_1_771_0.jpg
Veil of Blinding Light,2017,3048  x 2286 mm 120 x 90 in,Oil on canvas,Veil Paintings,http://damienhirst.com/images/hirstimage/VeilofBlindingLight_1_771_0.jpg
Veil of Love Everlasting,2017,3048 x 2286 mm 120 x 90 in,Oil on canvas,Veil Paintings,http://damienhirst.com/images/hirstimage/VeilofLoveEverlastin_1_771_0.jpg
Veil of Hope,2017,3658 x 2743 mm 144 x 108 in,Oil on Canvas,Veil Paintings,http://damienhirst.com/images/hirstimage/VeilofHope_1_771_0.jpg
Veil of Inner Light,2017,3048 x 2286  mm  120 x 90 in ,Oil on canvas,Veil Paintings,http://damienhirst.com/images/hirstimage/VeilofInnerLight_1_771_0.jpg
Flesh Tint,2016,610 x 813 mm | 24 x 32 in,Household gloss on canvas,Colour Space,http://damienhirst.com/images/hirstimage/DHS22713_1_1440_0.jpg
Leprosy,2003,1372 x 1016 mm |54 x 40 in ,Flies and resin on canvas,Fly Paintings and Sculptures,http://damienhirst.com/images/hirstimage/Leprosy_771_0.jpg
Gold Summer,2008 - 2009,1880 x 1651 mm | 74 x 65 in,"Butterflies, cubic zirconia and metallic paint on canvas",Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/GoldSummer_3_771_0.jpg
Dreams of Magnificence,2008 - 2009,1500 x 1500 mm | 59.1 x 59.1 in,"Butterflies, cubic zirconia and metallic paint on canvas",Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/DHS10923_771_0.jpg
Dreams of Magnificence,2008 - 2009,1500 x 1500 mm | 59.1 x 59.1 in,"Butterflies, cubic zirconia and metallic paint on canvas",Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/DHS10923_771_0.jpg
Veneration,2007,1829 x 1829 mm | 72 x 72 in,Butterflies and household gloss on canvas,Kaleidoscope Paintings,http://damienhirst.com/images/hirstimage/Veneration_3_771_0.jpg
The Unbearable Lightness of Being,2003,2438 x 1524 mm | 96 x 60 in,Butterflies and household gloss on canvas,Kaleidoscope Paintings,http://damienhirst.com/images/hirstimage/DHS877_771_0.jpg
Heaven,2008 - 2009,2140 x 3836 x 1418 mm | 84.3 x 151 x 55.8 in,"Glass, painted stainless steel, stainless steel, silicone, monofilament, shark and formaldehyde solution",Formaldehyde,http://damienhirst.com/images/hirstimage/GetFile_771_0.jpg
