ID_Batch_Loop#,Artist_Name,Title,Date_Created,Medium,Size,Signed_Edition,Estimate_Range,Realized_Price,Sale,Auction_House,Sale_Date
2_0,Damien Hirst,"SPOT DRAWING NO. 2, 1990",1990,coloured pencil on paper,84.1 by 59.7 cm. 33 1/8 by 23 1/2 in,Signed,"80,000 - 120,000 GBP","175,000 GBP",Contemporary Art Day Auction,Sotheby's London,"Jun. 27, 2018"
2_1,Damien Hirst,"Supreme Skate Deck Red #7, 1987",1987,Color silkscreen on plywood in original,31.25 x 8 inches,from an edition of 500,"800 - 1,200 USD",450 USD*,"Public Art Auction: Modern & Contemporary Art, Painting, Prints, Multiples, Photography, Individual works & Complete Estates",Santa Monica Auctions,"Jun. 04, 2017"
2_2,Damien Hirst,"Supreme Skate Deck Yellow #6, 1987",1987,Color silkscreen on plywood in original bag,31.25 x 8 inches,from an edition of 500,"800 - 1,200 USD",475 USD*,"Public Art Auction: Modern & Contemporary Art, Painting, Prints, Multiples, Photography, Individual works & Complete Estates",Santa Monica Auctions,"Jun. 04, 2017"
2_3,Damien Hirst,"Pharmacy, circa1990",circa1990,offset lithograph printed in colours,216 x 216 mm (8 1/2 x 8 1/2 in),42/200,"1,500 - 2,000 GBP","1,500 GBP",Mixed Media: 20th Century Art,"Dreweatts & Bloomsbury Auctions, Bloomsbury House","Jul. 16, 2015"
2_4,Damien Hirst,"The Complete Spot Paintings, 1986-2011",1986-2011,with butterfly and heart drawing on the slipcase in black ink,305 x 244mm,Signed,"1,000 - 1,500 GBP","2,375 GBP",Prints & Multiples,Bonhams Knightsbridge,"Jun. 03, 2015"
2_5,Damien Hirst,"UNTITLED (PILL PAINTING), 1990",1990,pills and eggshell paint on canvas,36 by 25.5cm.; 14 1/8 by 10in,Signed,"40,000 - 60,000 GBP","50,000 GBP",Bear Witness,Sotheby's London,"Mar. 10, 2015"
2_6,Damien Hirst,"Paradox No. V, 1975",1975,lithograph,58 x 62 cm,"Signed, 16/35",70 - 100 GBP,Not Sold,Art & Design from 1860,Cheffins,"Oct. 23, 2014"
2_7,Damien Hirst,"My Way, 1990-1991",1990-1991,"glass, faced particleboard, ramin, plastic, aluminium, resin, chemicals, pharmaceuticals and packaging",54 x 40 x 9 in. (137.2 x 101.6 x 22.9 cm.),,"700,000 - 900,000 GBP","865,875 GBP",Post War & Contemporary Art Evening Sale,Christie's London,"Jun. 25, 2013"
2_8,Damien Hirst,"EXPANDED FROM SMALL RED WHEEL, 1983-1985",1983-1985,plastic,16 by 10 by 4 in. 40.6 by 25.4 by 10.2 cm,Signed,"8,000 - 12,000 USD","28,125 USD",Contemporary Art Day Auction,Sotheby's New York,"May. 15, 2013"
2_9,Damien Hirst,"My Way, 1990-1991",1990-1991,"glass, faced particleboard, ramin, plastic, aluminium, resin, chemicals, pharmaceuticals and packaging",137.2 by 101.6 by 22.8cm.; 54 by 40 by 9in.,,"1,200,000 - 1,800,000 GBP",Not Sold,Contemporary Art Evening Auction,Sotheby's London,"Jun. 26, 2012"
2_10,Damien Hirst,"I'm only Sleeping, 1990",1990,household gloss with pharmaceutical drugs and resin on canvas,122 by 122cm.; 48 by 48in.,,"250,000 - 350,000 GBP",Not Sold,Contemporary Art Evening Auction,Sotheby's London,"Jun. 26, 2012"
2_11,Damien Hirst,"ELSA SCHIAPERELLI, 1934",1934,Gelatin silver print,8 1/8 x 6 1/8 inches (20 x 15 cm),Signed,"1,500 - 2,000 USD",Not Sold,Books and Prints,Doyle New York,"Apr. 30, 2008"
2_12,Damien Hirst,"With Dead Head, FullFormat:circa,year,1981","FullFormat:circa,year,1981",cibachrome print mounted on aluminium,57.2 by 76.3cm.; 22 1/2 by 30in.,,"20,000 - 30,000 GBP","60,500 GBP",Contemporary Art Day Auction,Sotheby's London,"Feb. 28, 2008"
2_13,Damien Hirst,"With Dead Head, 1981-1991",1981-1991,C-print.,8 x 10 in. (20.3 x 25.4 cm).,,"1,000 - 1,500 USD","1,250 USD",Saturday@Phillips,"Phillips New York, Chelsea","Dec. 01, 2007"
