date,open,high,low,close,volume
2018-01-02,11.482,11.6104,11.4637,11.6104,20773320
2018-01-03,11.6288,11.7388,11.6196,11.7021,29765638
2018-01-04,11.7205,11.9589,11.7113,11.9039,37478200
2018-01-05,11.9773,12.124,11.9589,12.1056,46121873
2018-01-08,12.1148,12.124,12.0231,12.0598,33828330
2018-01-09,12.0873,12.124,11.9956,11.9956,27924109
2018-01-10,11.9773,12.0497,11.8855,11.9497,56517139
2018-01-11,11.9406,12.1056,11.9222,12.069,28342293
2018-01-12,12.0139,12.1882,12.0139,12.1332,56979186
2018-01-16,12.2065,12.3624,11.9314,12.0139,53961375
2018-01-17,11.5371,11.5371,11.0968,11.1702,132412533
2018-01-18,11.1702,11.1886,11.0235,11.0693,66541729
2018-01-19,11.1152,11.1152,10.9226,11.0051,51303747
2018-01-22,11.0235,11.0785,10.9134,11.0235,52851915
2018-01-23,11.0326,11.0326,10.9134,10.9685,51830968
2018-01-24,11.0051,11.0877,10.9318,11.051,63300483
2018-01-25,10.9409,10.9409,10.4916,10.6108,114886820
2018-01-26,10.6291,10.73,10.5466,10.6842,52496001
2018-01-29,10.7296,10.7765,10.4383,10.4477,55113971
2018-01-30,10.4195,10.5511,10.3819,10.3913,52068187
2018-01-31,10.4195,10.443,10.241,10.3068,57644576
2018-02-01,10.288,10.335,10.194,10.2598,41352192
2018-02-02,10.2222,10.2222,9.9779,10.0625,72312922
2018-02-05,10.1283,10.147,9.6209,9.6209,96756955
2018-02-06,9.6491,10.1377,9.5739,10.1095,139938127
2018-02-07,10.1001,10.3725,10.0531,10.1095,68041787
2018-02-08,10.1377,10.2034,9.79,9.7994,73990734
2018-02-09,9.931,9.9967,9.6209,9.8934,72103620
2018-02-12,10.0249,10.1658,9.9062,10.0531,49068946
2018-02-13,9.9873,10.0437,9.8934,9.9497,36884488
2018-02-14,9.9122,10.1001,9.8652,10.0907,27844338
2018-02-15,10.147,10.147,9.9967,10.1095,28208311
2018-02-16,10.0531,10.1658,9.884,9.9685,41041761
2018-02-20,9.9403,10.0249,9.9122,9.9873,27617865
2018-02-21,10.0061,10.1001,9.9497,9.9591,36037720
2018-02-22,9.9591,10.0813,9.9216,9.9873,25409561
2018-02-23,10.0249,10.0625,9.9779,10.0531,21786781
