,0,1,2,3
0,4191 Belt Line Rd Addison TX 75001,Shell,2.699,1 Day Ago
1,15196 Marsh Ln Addison TX 75001,Racetrac #64,2.639,1 Day Ago
2,5012 Belt Line Rd Dallas TX 75254,Chevron,2.679,1 Day Ago
3,2220 Marsh Ln Carrollton TX 75006,Chilly Mart,2.699,1 Day Ago
4,5304 Arapaho Rd Dallas TX 75248,Exxon,2.659,1 Day Ago
5,3770 Belt Line Rd Addison TX 75001,Kroger Fuel Center #1870,2.599,2 Days Ago
6,3710 Belt Line Rd Addison TX 75001,7-eleven #35382,2.599,1 Day Ago
7,5403 Arapaho Rd Dallas TX 75248,7-eleven #22948,2.659,1 Day Ago
8,3690 Belt Line Rd Dallas TX 75234,Car Spa #17,2.799,3 Days Ago
9,16110 Dallas Pkwy Dallas TX 75248,Valero,2.669,1 Day Ago
10,2230 Marsh Ln Carrollton TX 75006,7-eleven #36368,2.699,1 Day Ago
11,16601 Addison Rd Addison TX 75001,Shell,2.799,1 Day Ago
12,13995 Midway Rd Dallas TX 75244,7-eleven #36348,2.699,1 Day Ago
13,2550 Midway Rd Carrollton TX 75006,Racetrac #2420,2.669,1 Day Ago
14,14400 Marsh Ln Addison TX 75001,7-eleven #19358,2.699,1 Day Ago
15,14106 Dallas Pkwy Dallas TX 75254,Spring Valley Mart,2.709,1 Day Ago
16,14320 Marsh Ln Addison TX 75001,Shell,2.699,1 Day Ago
17,14300 Montfort Dr Dallas TX 75254,7-eleven #22598,2.659,1 Day Ago
18,5365 Spring Valley Rd Dallas TX 75254,7-eleven #22788,2.699,1 Day Ago
19,14999 Preston Rd Dallas TX 75254,Tom Thumb #3650 (discount Available),2.659,2 Days Ago
20,17605 Midway Rd Dallas TX 75287,7-eleven #25080,2.699,1 Day Ago
21,17610 Midway Rd Dallas TX 75287,Kwik Pik,2.699,1 Day Ago
22,2520 E Belt Line Rd Carrollton TX 75006,Texaco,2.699,1 Day Ago
23,14040 Montfort Dr Dallas TX 75240,Chevron,2.699,1 Day Ago
24,15050 Preston Rd Dallas TX 75254,7-eleven #35415,2.659,1 Day Ago
25,4510 Trinity Mills Rd Dallas TX 75287,Racetrac #609,2.619,1 Day Ago
26,5518 Alpha Rd Dallas TX 75240,Corner Store #2003,2.659,1 Day Ago
27,4210 Lbj Fwy Dallas TX 75244,Chevron,2.799,1 Day Ago
28,4205 Lbj Fwy Dallas TX 75244,Exxon,2.799,1 Day Ago
29,2414 E Trinity Mills Rd Carrollton TX 75006,Quik-way,2.699,1 Day Ago
30,18118 Midway Rd Dallas TX 75287,7-eleven #26771,2.669,1 Day Ago
31,7650 Campbell Rd Dallas TX 75248,7-eleven #35410,2.659,1 Day Ago
32,4590 Frankford Rd Dallas TX 75287,7-eleven #36361,2.669,1 Day Ago
33,18041 Marsh Ln Dallas TX 75287,Murphy Usa #6636 (discount Available),2.629,1 Day Ago
34,13608 Preston Rd Dallas TX 75240,7-eleven #12214,2.659,1 Day Ago
35,3939 Frankford Rd Dallas TX 75287,Kroger Fuel Center #7587 (discount Available),2.669,1 Day Ago
36,4605 Frankford Rd Dallas TX 75287,Masos Texaco,2.659,1 Day Ago
37,6055 Alpha Rd Dallas TX 75240,Quiktrip #1900,2.649,1 Day Ago
38,18078 Marsh Ln Dallas TX 75287,7-eleven #32740,2.639,1 Day Ago
39,15707 Hillcrest Rd Dallas TX 75248,7-eleven #35414,2.679,1 Day Ago
40,2929 Frankford Rd Dallas TX 75287,Quiktrip #932,2.619,1 Day Ago
41,1901 E Belt Line Rd Carrollton TX 75006,Chevron,2.699,1 Day Ago
42,2718 Frankford Rd Dallas TX 75287,Fast Trip Mart,2.699,5 Days Ago
43,12969 Preston Rd Dallas TX 75230,Shell,2.699,1 Day Ago
44,12920 Preston Rd Dallas TX 75230,Texaco,2.699,1 Day Ago
45,2146 N Josey Ln Carrollton TX 75006,Corner Store #1740,2.659,1 Day Ago
46,18599 Marsh Lane Dallas TX 75287,Racetrac #198,2.619,1 Day Ago
47,2145 N Josey Ln Carrollton TX 75006,7-eleven #27528,2.659,1 Day Ago
48,17604 Davenport Rd Dallas TX 75252,Chevron,2.799,1 Day Ago
49,14300 Josey Ln Dallas TX 75234,Chevron #380385,2.699,1 Day Ago
50,4712 Haverwood Ln Dallas TX 75287,Corner Store #2418,2.659,5 Days Ago
51,13900 Josey Ln Dallas TX 75234,Sunnys Mart,2.699,3 Days Ago
52,2525 N Josey Ln Carrollton TX 75006,Speedy Shop,2.699,1 Day Ago
53,3976 Rosemeade Pkwy Dallas TX 75287,7-eleven #39059,2.679,1 Day Ago
54,18008 Preston Rd Dallas TX 75252,7-eleven #33494,2.659,1 Day Ago
55,19004 Midway Rd Dallas TX 75287,Midway Shell,2.699,1 Day Ago
56,19019 Midway Rd Dallas TX 75287,Texaco #380374,2.699,4 Days Ago
57,3637 Forest Ln Dallas TX 75234,7-eleven #26702,2.599,1 Day Ago
58,11804 Inwood Rd Dallas TX 75244,Texaco,2.699,2 Days Ago
59,1600 Lbj Fwy Dallas TX 75234,Quiktrip #999,2.649,1 Day Ago
60,19059 Marsh Ln Dallas TX 75287,Kaiser Food Mart,2.699,1 Day Ago
61,12103 Webb Chapel Rd Dallas TX 75234,7-eleven #34117,2.609,1 Day Ago
62,2525 E Rosemeade Pkwy Carrollton TX 75007,Chevron #303925,2.699,1 Day Ago
