Record Number,Game Name,Platform,Publishor/Developer,Type,Year,Average Rating,Console Generation
9547,Minecraft,PC Web,4J Studios Mojang,Création Open World Sandbox Survie,2011,97,Computer
9647,Monkey Island 2: LeChuck's Revenge,Mac,LucasArts,Aventure Point'n Click,1991,96,Computer
14258,Steins;Gate,PC,Nitroplus 5pb Nitro Games,Aventure,2011,97.5,Computer
7565,Captain Blood,ST,Infogrames Mindscape Ere Informatique Exxos,Aventure,1988,96.75,Computer
3811,Divinity: Original Sin II - Definitive Edition,PC,Larian Studios,RPG,2017,97.5,Computer
14502,Super Mario Bros.,Nes,Nintendo,Plate-Forme,1987,95,Gen_3
14507,Super Mario Bros.: The Lost Levels,Nes,Nintendo,Plate-Forme,1988,95,Gen_3
9415,Metroid,Nes,Nintendo,Action Plate-Forme,1988,95,Gen_3
15005,Tetris,Nes,EA Mobile Nintendo AxySoft Bullet Proof Softwa...,Réflexion Puzzle-Game Autres,1987,95,Gen_3
14508,Super Mario Bros. 3,Nes,Nintendo,Plate-Forme,1991,97.5,Gen_3
14515,Super Mario Kart,SNES,Nintendo,Course,1993,95,Gen_4
14533,Super Metroid,SNES,Nintendo,Action Aventure Plate-Forme,1994,96,Gen_4
3880,Donkey Kong Country,SNES,Rareware Nintendo,Plate-Forme,1994,97.5,Gen_4
2539,Chrono Trigger,SNES,Squaresoft Square Enix KOCH Media,RPG,1995,95.75,Gen_4
15368,The Legend of Zelda: A Link to the Past,SNES,Capcom Nintendo,Action RPG,1992,97.5,Gen_4
13249,Silent Hill,PS1,Konami,Survival-Horror,1999,97.5,Gen_5
14495,Super Mario 64,N64,Nintendo,Plate-Forme,1997,95,Gen_5
12935,Sega Rally Championship,Saturn,Sega Infogrames,Course,1996,95,Gen_5
2537,Chrono Trigger,PS1,Squaresoft Square Enix KOCH Media,RPG,1995,95.75,Gen_5
5118,FIFA 06: Road to FIFA World Cup,PS1,EA Sports Electronic Arts,Sport,1996,95,Gen_5
14790,Tales of Symphonia,PS2,Bandai Namco Bandai Namco Entertainment Namco,RPG,2004,95,Gen_6
13694,SoulCalibur II,NGC,Bandai Namco Namco,Combat,2003,95,Gen_6
9354,Metal Gear Solid 3: Subsistence (Limited Edition),PS2,Konami,Action Infiltration,2006,96,Gen_6
9353,Metal Gear Solid 3: Snake Eater,PS2,Konami,Action Infiltration,2005,96,Gen_6
15391,The Legend of Zelda: The Wind Waker,NGC,Nintendo Hexa Drive,Action Aventure RPG,2003,97.25,Gen_6
14509,Super Mario Bros. 3,Wii,Nintendo,Plate-Forme,1991,97.5,Gen_7
15369,The Legend of Zelda: A Link to the Past,Wii,Capcom Nintendo,Action RPG,1992,97.5,Gen_7
16598,Umineko no Naku Koro ni Chiru: Shinjitsu to Ge...,PC PS3,07th Expansion Alchemist,Aventure Visual Novel,2016,97,Gen_7
3881,Donkey Kong Country,Wii,Rareware Nintendo,Plate-Forme,1994,97.5,Gen_7
14501,Super Mario Bros.,Wii,Nintendo,Plate-Forme,1987,97.5,Gen_7
15372,The Legend of Zelda: Breath of the Wild,Switch,Nintendo,Action Aventure RPG,2017,100,Gen_8
10696,Okami HD,PC PS4 ONE,Capcom,Action Aventure,2017,95.5,Gen_8
3810,Divinity: Original Sin II - Definitive Edition,PC PS4 ONE,Larian Studios,RPG,2017,97.5,Gen_8
15687,The Witcher 3: Wild Hunt - Blood and Wine,PC PS4 ONE,NaN,RPG,2016,95.75,Gen_8
10695,Okami HD,Switch,Capcom,Action Aventure,2017,95.5,Gen_8
15007,Tetris,GB,EA Mobile Nintendo AxySoft Bullet Proof Softwa...,Réflexion Puzzle-Game Autres,1987,97.5,Handheld
2540,Chrono Trigger,DS,Squaresoft Square Enix KOCH Media,RPG,1995,95.75,Handheld
9420,Metroid Fusion,GBA,Nintendo,Action,2002,95,Handheld
9366,Metal Slug,NEO,Nazca Corporation SNK Playmore SNK,Action Beat'em All,1997,95,Handheld
15382,The Legend of Zelda: Ocarina of Time,3DS,Grezzo Nintendo,Action Aventure RPG,1998,95.75,Handheld
9650,Monkey Island 2: LeChuck's Revenge - Special E...,iOS,LucasArts,Aventure Point'n Click,2010,95,Mobile
15628,The Walking Dead: Season 1,iOS,Telltale Games,Aventure Point'n Click,2012,94.25,Mobile
3595,Device 6,iOS,Simogo,Aventure Réflexion,2013,93.25,Mobile
2536,Chrono Trigger,iOS,Squaresoft Square Enix KOCH Media,RPG,1995,93.25,Mobile
2993,Crashlands,iOS Android,Butterscotch Shenanigans,Action RPG,2016,92.5,Mobile
15454,The Orange Box,NaN,NaN,NaN,NaN,90,NaN
5256,Final Fantasy X | X-2: HD Remaster,NaN,NaN,NaN,NaN,90,NaN
5258,Final Fantasy X | X-2: HD Remaster,NaN,NaN,NaN,NaN,90,NaN
15540,The Sly Collection,NaN,NaN,NaN,NaN,90,NaN
2606,The ICO & Shadow of the Colossus Collection,NaN,NaN,NaN,NaN,95,NaN
