Date,Country,Value
2018-06-27,United Kingdom,0.7610929294466854
2015-07-16,United Kingdom,0.6409845522722902
2015-06-03,United Kingdom,0.6514233600416911
2015-03-10,United Kingdom,0.6628662335940607
2014-10-23,United Kingdom,0.623558022073954
2013-06-25,United Kingdom,0.6485925541574783
2012-06-26,United Kingdom,0.6402048655569782
2012-06-26,United Kingdom,0.6402048655569782
2008-02-28,United Kingdom,0.5030434126465114
2005-06-23,United Kingdom,0.5500550055005501
2004-06-24,United Kingdom,0.548967940272288
1998-10-08,United Kingdom,0.5806526535826269
2018-09-21,United Kingdom,0.7652865998316369
2018-06-27,United Kingdom,0.7610929294466854
2018-06-27,United Kingdom,0.7610929294466854
2018-06-07,United Kingdom,0.7447680047665153
2018-03-08,United Kingdom,0.7233796296296295
2017-10-06,United Kingdom,0.7655209369976269
2017-07-11,United Kingdom,0.7781495603454984
2017-03-15,United Kingdom,0.8181966944853543
2017-03-08,United Kingdom,0.8229098090849243
2016-11-16,United Kingdom,0.8032128514056224
2016-11-10,United Kingdom,0.7985307035055498
2016-11-10,United Kingdom,0.7985307035055498
2016-11-10,United Kingdom,0.7985307035055498
2016-10-06,United Kingdom,0.7907013520993121
2016-10-05,United Kingdom,0.7846214201647705
2016-06-30,United Kingdom,0.7551729346020238
2016-06-29,United Kingdom,0.7401924500370096
2015-10-16,United Kingdom,0.6476264490641798
2015-07-16,United Kingdom,0.6409845522722902
2015-07-16,United Kingdom,0.6409845522722902
2015-06-30,United Kingdom,0.6358491765753164
2015-03-10,United Kingdom,0.6628662335940607
2015-03-10,United Kingdom,0.6628662335940607
2014-10-17,United Kingdom,0.6216585851050603
2014-10-16,United Kingdom,0.6224712107065048
2014-09-25,United Kingdom,0.6130080304051984
2014-07-03,United Kingdom,0.5830223880597015
2014-07-01,United Kingdom,0.583192395171167
2014-06-30,United Kingdom,0.5846243788365976
2014-06-04,United Kingdom,0.5971218725741924
2014-03-27,United Kingdom,0.6014314067480604
2014-02-19,United Kingdom,0.5981576743629621
2014-02-13,United Kingdom,0.6008532115604158
2014-02-13,United Kingdom,0.6008532115604158
2013-12-11,United Kingdom,0.6101653548111539
2013-12-11,United Kingdom,0.6101653548111539
2013-10-19,United Kingdom,0.6101653548111539
2013-10-18,United Kingdom,0.6178942165101334
2013-10-18,United Kingdom,0.6178942165101334
2013-09-26,United Kingdom,0.6245316012990257
2013-09-26,United Kingdom,0.6245316012990257
2013-09-26,United Kingdom,0.6245316012990257
2013-06-27,United Kingdom,0.6563833278634722
2013-06-26,United Kingdom,0.6522306287503261
2013-06-25,United Kingdom,0.6485925541574783
2013-03-28,United Kingdom,0.6585879873551107
2013-02-14,United Kingdom,0.6450780544445878
2013-02-13,United Kingdom,0.6433350488934637
2012-12-11,United Kingdom,0.6210022977085015
2012-11-27,United Kingdom,0.6239081607187422
2012-10-12,United Kingdom,0.6220839813374806
2012-10-11,United Kingdom,0.6239081607187422
2012-09-20,United Kingdom,0.6173601679219657
2012-09-12,United Kingdom,0.620693935820247
2012-07-03,United Kingdom,0.6368615462998344
2012-06-27,United Kingdom,0.6431281754453663
2012-06-27,United Kingdom,0.6431281754453663
2012-06-27,United Kingdom,0.6431281754453663
2012-06-27,United Kingdom,0.6431281754453663
2012-06-26,United Kingdom,0.6402048655569782
2012-06-26,United Kingdom,0.6402048655569782
2012-06-26,United Kingdom,0.6402048655569782
2012-03-28,United Kingdom,0.630715862503942
2012-02-16,United Kingdom,0.6331117442228553
2012-02-16,United Kingdom,0.6331117442228553
2012-02-16,United Kingdom,0.6331117442228553
2011-10-14,United Kingdom,0.6325910931174089
2011-10-13,United Kingdom,0.6357683260219976
2011-10-13,United Kingdom,0.6357683260219976
2011-07-12,United Kingdom,0.6273525721455457
2011-06-30,United Kingdom,0.6223937262712392
2011-06-30,United Kingdom,0.6223937262712392
2011-06-29,United Kingdom,0.6222775357809583
2011-06-29,United Kingdom,0.6222775357809583
2011-06-29,United Kingdom,0.6222775357809583
2011-06-28,United Kingdom,0.6243756243756244
2011-04-19,United Kingdom,0.6129328838492185
2011-03-03,United Kingdom,0.6147792942333702
2011-02-16,United Kingdom,0.6225487144369046
2010-10-16,United Kingdom,0.6225487144369046
2010-10-16,United Kingdom,0.6225487144369046
2010-09-16,United Kingdom,0.6405329233922624
2010-07-13,United Kingdom,0.6589785831960461
2010-06-29,United Kingdom,0.6630860022544924
2009-10-16,United Kingdom,0.6116207951070336
2009-06-26,United Kingdom,0.606134076857801
2009-02-12,United Kingdom,0.7018528916339135
2008-10-22,United Kingdom,0.6182762458266353
2008-10-21,United Kingdom,0.593930035041872
2008-10-21,United Kingdom,0.593930035041872
2008-09-11,United Kingdom,0.5715265474081271
2008-09-11,United Kingdom,0.5715265474081271
2008-09-11,United Kingdom,0.5715265474081271
2008-07-01,United Kingdom,0.5017561465127948
2008-07-01,United Kingdom,0.5017561465127948
2008-06-29,United Kingdom,0.5017561465127948
2008-06-29,United Kingdom,0.5017561465127948
2008-02-28,United Kingdom,0.5030434126465114
2008-02-28,United Kingdom,0.5030434126465114
2008-02-07,United Kingdom,0.5149330587023687
2007-11-29,United Kingdom,0.4844491812808836
2007-10-14,United Kingdom,0.4844491812808836
2007-10-12,United Kingdom,0.4916420845624386
2007-10-12,United Kingdom,0.4916420845624386
2007-06-22,United Kingdom,0.5006257822277848
2007-06-22,United Kingdom,0.5006257822277848
2007-06-22,United Kingdom,0.5006257822277848
2007-06-21,United Kingdom,0.5019072475406545
2007-06-21,United Kingdom,0.5019072475406545
2007-06-20,United Kingdom,0.501579976927321
2007-06-18,United Kingdom,0.5044899606497831
2006-10-18,United Kingdom,0.535475234270415
2006-10-17,United Kingdom,0.5337888331376108
2006-04-06,United Kingdom,0.5712979890310786
2006-02-09,United Kingdom,0.5743495491356039
2006-02-09,United Kingdom,0.5743495491356039
2006-02-09,United Kingdom,0.5743495491356039
2005-10-25,United Kingdom,0.5600672080649678
2005-06-23,United Kingdom,0.5500550055005501
2005-06-23,United Kingdom,0.5500550055005501
2005-02-07,United Kingdom,0.5374321491911646
2004-10-20,United Kingdom,0.5498432946610217
2004-06-25,United Kingdom,0.5489076737292787
2004-06-24,United Kingdom,0.548967940272288
2004-06-24,United Kingdom,0.548967940272288
2004-04-01,United Kingdom,0.5386770092652445
2004-02-05,United Kingdom,0.5441288497116117
2004-02-05,United Kingdom,0.5441288497116117
2004-02-05,United Kingdom,0.5441288497116117
2003-06-26,United Kingdom,0.6009615384615384
2003-06-26,United Kingdom,0.6009615384615384
2003-06-25,United Kingdom,0.595699052838506
2003-06-24,United Kingdom,0.6021557174685374
2002-06-27,United Kingdom,0.6542361792607131
2002-02-08,United Kingdom,0.7054176072234764
2002-02-07,United Kingdom,0.7083658000991713
2001-03-28,United Kingdom,0.6967670011148271
2000-06-27,United Kingdom,0.6666666666666666
1999-06-29,United Kingdom,0.6336734047272036
1999-06-29,United Kingdom,0.6336734047272036
1999-06-29,United Kingdom,0.6336734047272036
1998-12-08,United Kingdom,0.6045949214026602
1998-12-08,United Kingdom,0.6045949214026602
1998-10-08,United Kingdom,0.5806526535826269
1998-10-08,United Kingdom,0.5806526535826269
1998-10-08,United Kingdom,0.5806526535826269
1998-04-22,United Kingdom,0.5981576743629621
2019-05-02,United Kingdom,0.7673419275629221
2019-05-02,United Kingdom,0.7673419275629221
2018-12-05,United Kingdom,0.7673419275629221
2018-12-05,United Kingdom,0.7673419275629221
2018-12-05,United Kingdom,0.7673419275629221
2018-10-05,United Kingdom,0.7633005114113426
2018-10-05,United Kingdom,0.7633005114113426
2018-09-20,United Kingdom,0.7554581853894387
2018-09-20,United Kingdom,0.7554581853894387
2018-09-20,United Kingdom,0.7554581853894387
2018-09-18,United Kingdom,0.7599939200486395
2018-09-13,United Kingdom,0.7631257631257631
2018-07-04,United Kingdom,0.7631257631257631
2018-07-04,United Kingdom,0.7631257631257631
2018-06-27,United Kingdom,0.7610929294466854
2018-06-26,United Kingdom,0.7551159102922298
2018-06-26,United Kingdom,0.7551159102922298
2018-06-07,United Kingdom,0.7447680047665153
2018-05-09,United Kingdom,0.7370826269624825
2018-03-20,United Kingdom,0.713623064297438
2018-03-08,United Kingdom,0.7233796296296295
2018-01-25,United Kingdom,0.7010656197420079
2018-01-25,United Kingdom,0.7010656197420079
2018-01-25,United Kingdom,0.7010656197420079
2017-12-18,United Kingdom,0.7463800567248843
2017-12-18,United Kingdom,0.7463800567248843
2017-11-01,United Kingdom,0.75431847325941
2017-10-24,United Kingdom,0.7619628162145687
2017-10-06,United Kingdom,0.7655209369976269
2017-10-06,United Kingdom,0.7655209369976269
2017-10-06,United Kingdom,0.7655209369976269
2017-10-05,United Kingdom,0.7614986293024673
2017-09-19,United Kingdom,0.7398091292446549
2017-09-13,United Kingdom,0.7565441065214101
2017-07-11,United Kingdom,0.7781495603454984
2017-06-27,United Kingdom,0.781799702916113
2017-06-07,United Kingdom,0.7727378100610462
2017-04-05,United Kingdom,0.800768737988469
2017-03-29,United Kingdom,0.8057368463459833
2017-03-29,United Kingdom,0.8057368463459833
2017-03-22,United Kingdom,0.8015389547932029
2017-03-21,United Kingdom,0.801346261719689
2017-03-21,United Kingdom,0.801346261719689
2016-12-05,United Kingdom,0.7869058860560277
2016-11-16,United Kingdom,0.8032128514056224
2016-11-16,United Kingdom,0.8032128514056224
2016-11-10,United Kingdom,0.7985307035055498
2016-11-10,United Kingdom,0.7985307035055498
2016-11-10,United Kingdom,0.7985307035055498
2016-11-09,United Kingdom,0.8016674683341349
2016-10-05,United Kingdom,0.7846214201647705
2016-09-28,United Kingdom,0.7694675284702985
2016-09-28,United Kingdom,0.7694675284702985
2016-09-21,United Kingdom,0.7705347511172753
2016-09-21,United Kingdom,0.7705347511172753
2016-07-21,United Kingdom,0.7566585956416464
2016-06-29,United Kingdom,0.7401924500370096
2016-06-09,United Kingdom,0.6912283127116886
2016-05-19,United Kingdom,0.6845564074479736
2016-05-18,United Kingdom,0.6842285323297982
2016-03-31,United Kingdom,0.6953619358876295
2016-03-31,United Kingdom,0.6953619358876295
2016-03-23,United Kingdom,0.7086669973779322
2016-03-23,United Kingdom,0.7086669973779322
2016-03-23,United Kingdom,0.7086669973779322
2016-02-11,United Kingdom,0.6921373200442967
2015-12-09,United Kingdom,0.6592827004219409
2015-12-01,United Kingdom,0.6633939233116625
2015-11-25,United Kingdom,0.6618571712224502
2015-11-25,United Kingdom,0.6618571712224502
2015-10-16,United Kingdom,0.6476264490641798
2015-09-30,United Kingdom,0.6615506747816883
2015-09-30,United Kingdom,0.6615506747816883
2015-09-17,United Kingdom,0.644786897930234
2015-07-16,United Kingdom,0.6409845522722902
2015-07-14,United Kingdom,0.6416837782340863
2015-07-02,United Kingdom,0.6404508774177021
2015-06-30,United Kingdom,0.6358491765753164
2015-06-30,United Kingdom,0.6358491765753164
2015-04-30,United Kingdom,0.6524008350730689
2015-03-26,United Kingdom,0.6736728644570197
2015-03-26,United Kingdom,0.6736728644570197
2015-03-17,United Kingdom,0.6782419967444384
2015-03-10,United Kingdom,0.6628662335940607
2015-03-10,United Kingdom,0.6628662335940607
2014-10-29,United Kingdom,0.6192333890643383
2014-10-29,United Kingdom,0.6192333890643383
2014-09-25,United Kingdom,0.6130080304051984
2014-09-16,United Kingdom,0.6138735420503376
2014-07-15,United Kingdom,0.5831243804303458
2014-07-03,United Kingdom,0.5830223880597015
2014-07-03,United Kingdom,0.5830223880597015
2014-07-02,United Kingdom,0.5825808330905914
2014-06-04,United Kingdom,0.5971218725741924
2014-03-18,United Kingdom,0.6033546518643659
2014-03-18,United Kingdom,0.6033546518643659
2014-02-19,United Kingdom,0.5981576743629621
2014-02-19,United Kingdom,0.5981576743629621
2014-02-19,United Kingdom,0.5981576743629621
2013-12-12,United Kingdom,0.6125199068969741
2013-12-11,United Kingdom,0.6101653548111539
2013-12-11,United Kingdom,0.6101653548111539
2013-12-11,United Kingdom,0.6101653548111539
2013-12-11,United Kingdom,0.6101653548111539
2013-12-11,United Kingdom,0.6101653548111539
2013-12-11,United Kingdom,0.6101653548111539
2013-12-11,United Kingdom,0.6101653548111539
2013-12-11,United Kingdom,0.6101653548111539
2013-11-26,United Kingdom,0.6177796997590659
2013-11-19,United Kingdom,0.6207324643078833
2013-11-19,United Kingdom,0.6207324643078833
2013-10-19,United Kingdom,0.6207324643078833
2013-09-26,United Kingdom,0.6245316012990257
2013-09-26,United Kingdom,0.6245316012990257
2013-09-26,United Kingdom,0.6245316012990257
2013-09-18,United Kingdom,0.6263701847792045
