,ZipCode,City,Population,Growth,Age,Income per household,Number of Stations,Mean Price,Median Price,Min Price,Max Price
0,75001,Addison TX,13825.0,0.1,32.0,57064,8,2.6427499999999995,2.6689999999999996,2.4090000000000003,2.799
1,75006,Carrollton TX,48827.0,0.05,34.0,52798,16,2.7039999999999997,2.699,2.6489999999999996,2.799
2,75007,Carrollton TX,53428.0,0.03,37.6,70081,12,2.6939999999999995,2.699,2.5989999999999998,2.759
3,75019,Coppell TX,40062.0,0.03,37.7,96840,8,2.6765,2.679,2.479,2.8989999999999996
4,75028,Flower Mound TX,43154.0,0.02,38.0,91855,13,2.600538461538462,2.5989999999999998,2.489,2.699
5,75038,Irving TX,30629.0,0.09,29.9,41506,11,2.675363636363636,2.659,2.6489999999999996,2.759
6,75039,Irving TX,13499.0,0.18,31.3,56451,3,2.689,2.659,2.659,2.7489999999999997
7,75040,Garland TX,61180.0,0.02,32.8,51679,19,2.6263684210526312,2.5989999999999998,2.3890000000000002,2.779
8,75041,Garland TX,32093.0,0.04,30.9,38718,20,2.5685,2.574,2.499,2.699
9,75042,Garland TX,39691.0,0.04,31.2,40111,12,2.644833333333333,2.6639999999999997,2.519,2.699
10,75043,Garland TX,61149.0,0.04,34.8,50512,17,2.6395882352941165,2.639,2.499,2.699
11,75044,Garland TX,41255.0,0.01,38.6,63889,12,2.680666666666666,2.689,2.5989999999999998,2.759
12,75048,Sachse TX,21731.0,0.06,35.4,70667,7,2.571857142857143,2.5789999999999997,2.529,2.5989999999999998
13,75050,Grand Prairie TX,42667.0,0.03,30.8,39902,28,2.662571428571429,2.679,2.5789999999999997,2.759
14,75051,Grand Prairie TX,38216.0,-0.02,29.3,34208,14,2.6525714285714277,2.659,2.549,2.699
15,75052,Grand Prairie TX,89829.0,0.0,32.3,60254,26,2.6301538461538456,2.659,2.499,2.759
16,75060,Irving TX,48679.0,0.05,32.2,43682,15,2.633,2.6489999999999996,2.499,2.799
17,75061,Irving TX,56843.0,0.05,30.3,37330,15,2.6709999999999994,2.659,2.569,2.7489999999999997
18,75062,Irving TX,47640.0,0.06,32.0,45085,22,2.6885454545454537,2.689,2.559,2.9989999999999997
19,75063,Irving TX,37300.0,0.05,32.4,62199,14,2.6432857142857142,2.659,2.449,2.7089999999999996
20,75067,Lewisville TX,63767.0,0.04,30.0,52123,30,2.613333333333333,2.6239999999999997,2.439,2.8989999999999996
21,75080,Richardson TX,44128.0,0.0,34.7,55973,9,2.6590000000000003,2.699,2.5989999999999998,2.699
22,75081,Richardson TX,36816.0,0.07,37.4,60597,13,2.6651538461538453,2.679,2.539,2.759
23,75082,Richardson TX,21687.0,0.02,39.6,100080,4,2.5865,2.5989999999999998,2.539,2.609
24,75088,Rowlett TX,25113.0,0.01,39.2,71263,16,2.637749999999999,2.6389999999999993,2.559,2.7089999999999996
25,75089,Rowlett TX,31154.0,0.02,34.8,70821,2,2.614,2.614,2.5989999999999998,2.6289999999999996
26,75098,Wylie TX,50753.0,0.05,32.5,60238,12,2.5615,2.564,2.419,2.6689999999999996
27,75104,Cedar Hill TX,46252.0,0.01,34.2,60140,11,2.579909090909091,2.5989999999999998,2.4090000000000003,2.699
