DATE,DEXCHUS,DEXDNUS,DEXHKUS,DEXJPUS,DEXKOUS,DEXMXUS,DEXNOUS,DEXSDUS,DEXSIUS,DEXSZUS,DEXTAUS,DEXUSAL,DEXUSEU,DEXUSNZ,DEXUSUK
1971-01-04,,7.4850,,357.73,,,7.1359,5.1643,,4.3180,,1.1127,,1.1138,2.3938
1971-01-05,,7.4872,,357.81,,,7.1422,5.1628,,4.3117,,1.1132,,1.1143,2.3949
1971-01-06,,7.4839,,357.86,,,7.1367,5.1614,,4.3113,,1.1140,,1.1151,2.3967
1971-01-07,,7.4850,,357.87,,,7.1386,5.1649,,4.3103,,1.1138,,1.1150,2.3963
1971-01-08,,7.4850,,357.82,,,7.1382,5.1631,,4.3109,,1.1124,,1.1154,2.3972
1971-01-11,,7.4850,,357.95,,,7.1390,5.1642,,4.3102,,1.1152,,1.1163,2.3992
1971-01-12,,7.4849,,358.06,,,7.1411,5.1643,,4.3099,,1.1156,,1.1167,2.4001
1971-01-13,,7.4812,,358.44,,,7.1390,5.1615,,4.3095,,1.1165,,1.1177,2.4021
1971-01-14,,7.4844,,358.40,,,7.1403,5.1625,,4.3095,,1.1189,,1.1200,2.4071
1971-01-15,,7.4839,,358.40,,,7.1414,5.1640,,4.3076,,1.1182,,1.1193,2.4057
1971-01-18,,7.4836,,358.29,,,7.1406,5.1651,,4.3029,,1.1179,,1.1191,2.4052
1971-01-19,,7.4836,,358.35,,,7.1429,5.1657,,4.3006,,1.1193,,1.1205,2.4081
1971-01-20,,7.4833,,358.40,,,7.1429,5.1636,,4.3010,,1.1193,,1.1204,2.4080
1971-01-21,,7.4848,,358.27,,,7.1443,5.1648,,4.3017,,1.1198,,1.1210,2.4092
1971-01-22,,7.4850,,357.90,,,7.1429,5.1626,,4.2996,,1.1204,,1.1215,2.4103
1971-01-25,,7.4867,,357.73,,,7.1435,5.1626,,4.3005,,1.1224,,1.1236,2.4147
1971-01-26,,7.4848,,357.78,,,7.1443,5.1640,,4.2987,,1.1230,,1.1241,2.4160
1971-01-27,,7.4834,,357.79,,,7.1414,5.1635,,4.2973,,1.1230,,1.1242,2.4161
1971-01-28,,7.4853,,357.83,,,7.1431,5.1653,,4.2978,,1.1234,,1.1246,2.4169
1971-01-29,,7.4868,,357.72,,,7.1445,5.1675,,4.2963,,1.1236,,1.1248,2.4174
1971-02-01,,7.4858,,357.67,,,7.1465,5.1778,,4.2968,,1.1241,,1.1253,2.4184
1971-02-02,,7.4858,,357.55,,,7.1465,5.1778,,4.2969,,1.1240,,1.1251,2.4181
1971-02-03,,7.4844,,357.54,,,7.1439,5.1742,,4.2965,,1.1241,,1.1253,2.4184
1971-02-04,,7.4854,,357.51,,,7.1431,5.1733,,4.2966,,1.1233,,1.1245,2.4167
1971-02-05,,7.4875,,357.53,,,7.1435,5.1784,,4.2969,,1.1224,,1.1235,2.4147
1971-02-08,,7.4874,,357.49,,,7.1429,5.1813,,4.2979,,1.1240,,1.1252,2.4182
1971-02-09,,7.4850,,357.50,,,7.1397,5.1811,,4.2969,,1.1226,,1.1237,2.4151
1971-02-10,,7.4883,,357.50,,,7.1412,5.1799,,4.2972,,1.1229,,1.1241,2.4159
1971-02-11,,7.4881,,357.50,,,7.1410,5.1778,,4.2967,,1.1229,,1.1240,2.4158
1971-02-12,,#N/A,,#N/A,,,#N/A,#N/A,,#N/A,,#N/A,,#N/A,#N/A
1971-02-15,,#N/A,,#N/A,,,#N/A,#N/A,,#N/A,,#N/A,,#N/A,#N/A
1971-02-16,,7.4881,,357.53,,,7.1406,5.1752,,4.2968,,1.1245,,1.1257,2.4193
1971-02-17,,7.4846,,357.53,,,7.1390,5.1706,,4.2968,,1.1245,,1.1257,2.4193
1971-02-18,,7.4848,,357.53,,,7.1418,5.1700,,4.2967,,1.1244,,1.1256,2.4191
1971-02-19,,7.4864,,357.56,,,7.1437,5.1692,,4.2963,,1.1244,,1.1255,2.4190
1971-02-22,,7.4841,,357.60,,,7.1434,5.1664,,4.2958,,1.1245,,1.1256,2.4192
1971-02-23,,7.4832,,357.55,,,7.1429,5.1610,,4.2957,,1.1245,,1.1257,2.4193
1971-02-24,,7.4828,,357.60,,,7.1418,5.1631,,4.3015,,1.1245,,1.1257,2.4193
1971-02-25,,7.4818,,357.56,,,7.1414,5.1652,,4.3073,,1.1238,,1.1249,2.4177
1971-02-26,,7.4834,,357.56,,,7.1420,5.1652,,4.3070,,1.1230,,1.1241,2.4160
1971-03-01,,7.4826,,357.63,,,7.1416,5.1631,,4.3073,,1.1231,,1.1242,2.4162
1971-03-02,,7.4826,,357.56,,,7.1413,5.1638,,4.3054,,1.1241,,1.1253,2.4184
1971-03-03,,7.4794,,357.49,,,7.1376,5.1622,,4.3039,,1.1245,,1.1257,2.4193
1971-03-04,,7.4818,,357.45,,,7.1389,5.1631,,4.3068,,1.1239,,1.1250,2.4179
1971-03-05,,7.4834,,357.59,,,7.1382,5.1631,,4.3066,,1.1241,,1.1252,2.4183
1971-03-08,,7.4825,,357.55,,,7.1365,5.1635,,4.3020,,1.1245,,1.1256,2.4192
1971-03-09,,7.4816,,357.46,,,7.1352,5.1644,,4.3011,,1.1244,,1.1256,2.4188
1971-03-10,,7.4794,,357.59,,,7.1352,5.1625,,4.3040,,1.1245,,1.1256,2.4192
1971-03-11,,7.4807,,357.56,,,7.1367,5.1636,,4.3012,,1.1243,,1.1254,2.4188
1971-03-12,,7.4794,,357.58,,,7.1363,5.1626,,4.3010,,1.1245,,1.1257,2.4193
1971-03-15,,7.4791,,357.54,,,7.1380,5.1626,,4.3004,,1.1245,,1.1257,2.4193
1971-03-16,,7.4791,,357.49,,,7.1380,5.1623,,4.3002,,1.1241,,1.1252,2.4183
1971-03-17,,7.4783,,357.53,,,7.1390,5.1613,,4.2995,,1.1246,,1.1257,2.4194
1971-03-18,,7.4818,,357.56,,,7.1390,5.1625,,4.2983,,1.1244,,1.1255,2.4190
1971-03-19,,7.4831,,357.56,,,7.1387,5.1621,,4.2972,,1.1244,,1.1255,2.4190
1971-03-22,,7.4818,,357.44,,,7.1412,5.1617,,4.2971,,1.1245,,1.1257,2.4193
1971-03-23,,7.4808,,357.53,,,7.1414,5.1620,,4.2972,,1.1245,,1.1257,2.4193
1971-03-24,,7.4783,,357.53,,,7.1390,5.1613,,4.2968,,1.1246,,1.1257,2.4194
1971-03-25,,7.4802,,357.47,,,7.1388,5.1626,,4.2969,,1.1241,,1.1253,2.4185
1971-03-26,,7.4827,,357.47,,,7.1365,5.1637,,4.2959,,1.1243,,1.1254,2.4188
1971-03-29,,7.4835,,357.44,,,7.1348,5.1648,,4.2966,,1.1246,,1.1257,2.4194
1971-03-30,,7.4792,,357.49,,,7.1327,5.1631,,4.2958,,1.1240,,1.1251,2.4181
1971-03-31,,7.4764,,357.42,,,7.1314,5.1624,,4.2954,,1.1234,,1.1245,2.4168
1971-04-01,,7.4805,,357.49,,,7.1325,5.1645,,4.2955,,1.1224,,1.1235,2.4147
1971-04-02,,7.4833,,357.53,,,7.1329,5.1644,,4.2947,,1.1213,,1.1225,2.4125
1971-04-05,,7.4846,,357.50,,,7.1329,5.1646,,4.2971,,1.1230,,1.1242,2.4161
1971-04-06,,7.4878,,357.46,,,7.1291,5.1628,,4.2974,,1.1243,,1.1255,2.4189
1971-04-07,,7.4859,,357.55,,,7.1289,5.1637,,4.2960,,1.1234,,1.1246,2.4170
1971-04-08,,7.4861,,357.55,,,7.1284,5.1653,,4.2937,,1.1233,,1.1245,2.4167
1971-04-09,,7.4855,,357.50,,,7.1278,5.1650,,4.2951,,1.1233,,1.1245,2.4167
1971-04-12,,7.4864,,357.50,,,7.1289,5.1646,,4.2969,,1.1234,,1.1246,2.4169
1971-04-13,,7.4891,,357.62,,,7.1304,5.1653,,4.3019,,1.1233,,1.1245,2.4167
1971-04-14,,7.4864,,357.58,,,7.1286,5.1644,,4.3024,,1.1239,,1.1250,2.4180
1971-04-15,,7.4878,,357.50,,,7.1276,5.1633,,4.2992,,1.1242,,1.1254,2.4187
1971-04-16,,7.4903,,357.54,,,7.1273,5.1615,,4.3019,,1.1242,,1.1253,2.4186
1971-04-19,,7.4892,,357.49,,,7.1259,5.1619,,4.3052,,1.1245,,1.1256,2.4193
1971-04-20,,7.4881,,357.49,,,7.1253,5.1623,,4.3039,,1.1245,,1.1257,2.4193
1971-04-21,,7.4854,,357.49,,,7.1236,5.1611,,4.3008,,1.1246,,1.1258,2.4196
1971-04-22,,7.4905,,357.49,,,7.1268,5.1620,,4.2995,,1.1242,,1.1254,2.4187
1971-04-23,,7.4909,,357.49,,,7.1289,5.1612,,4.3025,,1.1243,,1.1255,2.4189
1971-04-26,,7.4937,,357.50,,,7.1289,5.1624,,4.3008,,1.1243,,1.1254,2.4188
1971-04-27,,7.4937,,357.49,,,7.1301,5.1615,,4.2990,,1.1244,,1.1255,2.4190
1971-04-28,,7.4948,,357.50,,,7.1263,5.1615,,4.2957,,1.1246,,1.1258,2.4195
1971-04-29,,7.4960,,357.41,,,7.1291,5.1616,,4.2957,,1.1245,,1.1256,2.4192
1971-04-30,,7.4960,,357.40,,,7.1312,5.1614,,4.2959,,1.1245,,1.1257,2.4193
1971-05-03,,7.4982,,357.41,,,7.1309,5.1620,,4.2955,,1.1243,,1.1255,2.4189
1971-05-04,,7.4989,,357.40,,,7.1308,5.1613,,4.2952,,1.1242,,1.1253,2.4185
1971-05-05,,7.4963,,357.40,,,7.1279,5.1673,,4.1841,,1.1246,,1.1257,2.4194
1971-05-06,,7.5042,,357.41,,,7.1240,5.1724,,4.1667,,1.1242,,1.1253,2.4185
1971-05-07,,7.5019,,357.41,,,7.1247,5.1726,,4.1374,,1.1243,,1.1255,2.4188
1971-05-10,,7.5052,,357.14,,,7.1103,5.1683,,4.1076,,1.1236,,1.1248,2.4173
1971-05-11,,7.5067,,357.44,,,7.1138,5.1731,,4.1164,,1.1235,,1.1246,2.4170
1971-05-12,,7.5058,,357.53,,,7.1162,5.1714,,4.1095,,1.1240,,1.1252,2.4183
1971-05-13,,7.5033,,357.49,,,7.1133,5.1655,,4.0950,,1.1240,,1.1252,2.4183
1971-05-14,,7.5019,,357.49,,,7.1111,5.1664,,4.0950,,1.1242,,1.1253,2.4186
1971-05-17,,7.5019,,357.40,,,7.1116,5.1634,,4.0914,,1.1245,,1.1256,2.4193
1971-05-18,,7.4998,,357.44,,,7.1080,5.1622,,4.0872,,1.1244,,1.1255,2.4190
