,address,city_of_seattle,council_district,hud,name,sha,state_of_wa_or_county,units_with_income_rent_limits,wshfc,year_placed_in_service,zip_code,lat,lng
0,1606 12TH AVE,X,3, ,12th Avenue Arts, , ,86,X,2014,98122,47.615384,-122.3168652
1,13701 20TH AVE NE, ,5, ,13701 20th Ave NE, ,X,4, ,2009,98125,47.7286231,-122.3076156
2,13736 MERIDIAN AVE N,X,5, ,13736 Meridian Ave N, , ,4, ,2003,98133,47.7297958,-122.3338612
3,1715 NW 58TH ST,X,6, ,1715 Apartments, , ,9, ,2015,98107,47.6707472,-122.3795152
4,1806 23RD AVE,X,3, ,1806 23rd Ave, , ,13, ,2014,98122,47.6179606,-122.3022248
5,1811 EASTLAKE AVE,X,7, ,1811 Eastlake Supportive Housing, , ,75,X,2005,98101,47.6182239,-122.3295729
6,1812 12TH AVE,X,3, ,1812 12th Ave, , ,11, ,2014,98122,47.618016,-122.3165818
7,2500 E UNION ST,X,3, ,2500 E Union, , ,6, ,1995,98122,47.6132475,-122.2996395
8,320 E PINE ST,X,3, ,320 E Pine St, , ,27, ,2014,98122,47.6155808,-122.3271119
9,3904 MARTIN LUTHER KING JR WAY S,X,2, ,3904 MLK Way, , ,17,X,1986,98108,47.5682418,-122.2964603
10,410 11TH AVE E,X,3, ,410 Apartments, , ,6, ,1995,98102,47.6223506,-122.3175076
11,4558 7TH AVE NE,X,4, ,47+7 Sustainable Living, , ,5, ,2015,98105,47.663013,-122.320387
12,4730 CALIFORNIA AVE SW,X,1, ,4730 California, , ,15, ,2015,98116,47.5602534,-122.3866063
13,4743 21ST AVE NE,X,4, ,4743 Studios, , ,9, ,2014,98105,47.6643009,-122.3057391
14,507 NE NORTHGATE WAY,X,5, ,507 Northgate, , ,49, ,2009,98125,47.7080656,-122.3226005
15,4750 ROOSEVELT WAY NE,X,4, ,50th & Roosevelt Apartments, , ,12, ,2017,98105,47.6646228,-122.3171692
16,525 NE NORTHGATE WAY,X,5, ,525 at the Enclave, , ,54, ,2015,98125,47.70837119999999,-122.3215923
17,708 6TH AVE N,X,7, ,708 Uptown, , ,24, ,2012,98109,47.6258042,-122.3441011
18,143 NW 85TH ST,X,6, ,85th St Studios, , ,8, ,2015,98117,47.6903765,-122.3598463
19,8727 PHINNEY AVE N,X,5, ,8727 Phinney  Ave N, , ,8, ,2015,98103,47.69321129999999,-122.3543884
20,1601 9TH AVE,X,7, ,9th & Pine Apartments, , ,15, ,2015,98101,47.6137562,-122.332412
21,2020 S JACKSON ST,X,3, ,Abbey Lincoln Court, , ,68,X,2016,98144,47.5994749,-122.3048642
22,308 4TH AVE S, ,2, ,Addison on Fourth, , ,250,X,2013,98104,47.5998894,-122.3285612
23,2614 42ND AVE SW, ,1, ,Admiral House, ,X,15, ,2000,98116,47.5806029,-122.3847842
24,11500 STONE AVE N,X,5, ,Aki Kurose I (Stone View),X, ,26,X,1999,98133,47.7124721,-122.3418572
25,11520 STONE AVE N,X,5, ,Aki Kurose II,X, ,36,X,2000,98133,47.7125296,-122.342238
26,4545 42ND AVE SW, ,1, ,Alaska House, , ,104,X,2004,98116,47.5614597,-122.3857683
27,3512 ALBION PL N,X,4, ,Albion Place, , ,12, ,2004,98103,47.64996410000001,-122.344601
28,6520 35TH AVE SW,X,1, ,Alder Crest Apartments,X, ,35,X,2007,98126,47.54372129999999,-122.3760391
29,220 10TH AVE,X,3, ,Alder Flats, , ,19, ,2013,98122,47.6041782,-122.318989
30,525 25TH AVE S,X,3,X,Alma Gamble, , ,12, ,1999,98144,47.5973061,-122.3003338
31,1911 AURORA AVE N,X,7, ,Aloha Inn, , ,66, ,1992,98109,47.63658119999999,-122.3441683
32,4100 SW ALASKA ST,X,1, ,Altamira Apts, , ,32, ,2009,98116,47.5612376,-122.3849921
33,306 SUMMIT AVE E,X,3, ,Alturra aPodments, , ,12, ,2012,98102,47.6210798,-122.3249436
34,506 E HOWELL ST,X,3, ,Ambassador Condominiums, , ,6, ,1992,98122,47.6179465,-122.3248446
35,4801 RAINIER AVE S,X,2, ,Angeline, , ,39, ,2015,98118,47.5592356,-122.2868601
36,1531 BELMONT AVE,X,3, ,Annapolis, , ,22, ,1987,98122,47.6150367,-122.3247876
37,500 JOHN ST,X,7, ,Aperture on Fifth, , ,21, ,2014,98109,47.6199062,-122.3472159
38,539 23RD AVE S, ,3,X,Argonaut Apartments and Argonaut House 2, , ,14, ,2014,98144,47.5967008,-122.3025329
39,1502 E YESLER WAY,X,3, ,Aridell Mitchell Home, , ,6, ,1991,98122,47.60191469999999,-122.312519
40,1814 MINOR AVE,X,7, ,Arion Court, , ,37, ,1994,98101,47.6173468,-122.3307939
41,14027 LAKE CITY WAY NE,X,5, ,Array, , ,64, ,2014,98125,47.7310258,-122.2930796
42,9200 2ND AVE SW, ,1, ,Arrowhead Gardens, , ,443,X,2010,98106,47.521252,-122.3356492
43,4435 35TH AVE SW,X,1, ,Aura West Seattle, , ,31, ,2016,98126,47.5634212,-122.3764971
44,10507 AURORA AVE N,X,5, ,Aurora Supportive Housing, , ,87,X,2013,98133,47.7055763,-122.3450239
45,1400 NW MARKET ST,X,6, ,Avalon Ballard, , ,53, ,2013,98107,47.6690085,-122.3738834
46,2980 SW AVALON WAY,X,1, ,Avalon Mutual Housing, , ,15, ,2001,98126,47.5682372,-122.3710138
47,2988 SW AVALON WAY,X,1, ,Avalon Place, , ,16, ,2011,98126,47.5680317,-122.3711227
48,300 3RD AVE W,X,7, ,Avalon Queen Anne, , ,41, ,2012,98119,47.6213612,-122.3603182
49,2720 E MADISON ST,X,3, ,Bailey-Boushay House, , ,17, ,1992,98112,47.62329980000001,-122.2968838
50,118 BELL ST,X,7, ,Bakhita Gardens-Rose of Lima & Noel House, , ,90,X,2010,98121,47.6139473,-122.3461167
51,1820 MINOR AVE, ,7, ,Balfour Place, , ,180,X,1993,98101,47.6175343,-122.3312177
52,2445 NW 57TH ST, ,6, ,Ballard House,X, ,79,X,1969,98107,47.6696553,-122.3898313
53,7735 14TH AVE NW,X,6, ,Ballard House-CPC, , ,5, ,1991,98117,47.6861212,-122.3744176
54,2233 NW 58TH ST,X,6, ,Ballard on the Park, , ,54, ,2010,98107,47.6708195,-122.3864756
55,2248 NW 64TH ST,X,6, ,Ballard Public, , ,20, ,2015,98107,47.6755124,-122.3869462
56,412 BROADWAY,X,3, ,Barclay Broadway, , ,24, ,2012,98122,47.6060435,-122.3204507
57,430 MINOR AVE N, ,7, ,Bart Harvey, , ,49,X,2009,98109,47.6229289,-122.3325962
58,9201 RAINIER AVE S, ,2, ,Barton Place,X, ,91,X,1971,98118,47.5205296,-122.2703931
59,1728 12TH AVE,X,3, ,BASE Capitol Hill, , ,7, ,2014,98122,47.6172992,-122.3166065
60,2614 4TH AVE, ,7, ,Bayview Tower,X, ,100, ,1975,98121,47.6176936,-122.3472986
61,1536 12TH AVE S,X,2, ,Beacon Hill House, , ,5, ,1991,98144,47.5888841,-122.3169354
62,1545 12TH AVE S,X,2, ,Beacon House,X, ,6, ,1994,98144,47.5886133,-122.3175915
63,1311 S MASSACHUSETTS ST, ,2, ,Beacon Tower,X, ,108,X,1971,98144,47.5882132,-122.3156016
64,2215 1ST AVE, ,7, ,Bell Tower,X, ,120, ,1970,98121,47.6128285,-122.3461524
65,1641 BELLEVUE AVE,X,3, ,Bellevue/Olive Apartments, , ,48,X,1995,98122,47.6166121,-122.3270792
66,2208 2ND AVE,X,7, ,Belltown Senior Apartments, , ,25,X,2003,98121,47.6136836,-122.3444571
67,1411 BOYLSTON AVE,X,3, ,Belmont-Boylston Apts, , ,16, ,1990,98122,47.6134285,-122.3236635
68,101 N 104TH ST,X,6, ,Bergan Place Apartments, , ,37, ,1998,98133,47.704136,-122.357915
69,535 17TH AVE E,X,3, ,Berneva, , ,12, ,1992,98112,47.624274,-122.310307
70,1200 E PIKE ST,X,3, ,Beryl, , ,19, ,2015,98122,47.6142778,-122.3165507
71,7132 35TH AVE SW,X,1, ,Bethlehem House, , ,5, ,2000,98126,47.5382456,-122.3761801
72,620 N 130TH ST,X,5, ,Bitter Lake Manor - SSHP,X, ,71, ,2012,98133,47.723733,-122.350882
73,600 N 130TH ST, ,5, ,Bitterlake Facility (Moms Project), ,X,44, ,1999,98133,47.723933,-122.3515655
74,5020 CALIFORNIA AVE SW,X,1, ,Blake, , ,21, ,2014,98136,47.55679600000001,-122.386439
75,2401 NE BLAKELEY ST,X,4, ,Blakeley Manor - SSHP,X, ,69, ,2012,98105,47.6657869,-122.3015699
76,9722 8TH AVE NW,X,6,X,Booth Gardens, , ,16, ,1991,98117,47.7006215,-122.365635
77,3801 STONE WAY N,X,4, ,Bowman Stone Way, , ,55, ,2016,98103,47.6532043,-122.3433421
78,975 JOHN ST,X,7, ,Boxcar, , ,29, ,2013,98109,47.619481,-122.3375502
79,1726 BOYLSTON AVE,X,3,X,Boylston-Howell, , ,30, ,1994,98122,47.6173501,-122.3231303
80,2905 1ST AVE,X,7, ,Bremer, , ,49, ,1992,98121,47.61683319999999,-122.3530166
81,6800 62ND AVE NE,X,4, ,Brettler Family Housing, , ,51,X,2011,98115,47.6782924,-122.2616386
