Dates,Domestic Streaming,International Streaming,Adj Close
2002-03-30,14872,0,0
2003-03-30,29928,0,1.453571
2004-03-30,56444,0,4.91
2005-03-30,93986,0,1.464286
2006-03-30,126220,0,4.091429
2007-03-30,165189,0,3.312857
2008-03-30,187156,0,5.084286
2009-03-30,217456,0,6.004286
2010-03-30,259560,0,10.722857
2011-03-30,376992,803000,33.992859
2012-03-30,1740000,1210000,16.434286
2013-03-30,2030000,1020000,27.040001
2014-03-30,2250000,1750000,51.267143
2015-03-30,2280000,2600000,60.367142
2016-03-30,2230000,4510000,102.190002
2017-03-30,1420000,3530000,148.059998
2018-03-30,1620000,8260000,295.350006
