Quarters,Domestic,International,Date
Q3-02,21147,0,2002-09-30
Q3-03,38326,0,2003-09-30
Q3-04,71130,0,2004-09-30
Q3-05,97878,0,2005-09-30
Q3-06,135210,0,2006-09-30
Q3-07,"163,707",0,2007-09-30
Q3-08,"186,573",0,2008-09-30
Q3-09,"233,091",0,2009-09-30
Q3-10," 292,406 ",133000,2010-09-30
Q3-11," 471,823 ",1480000,2011-09-30
Q3-12," 1,160,000 ",690000,2012-09-30
Q3-13," 1,290,000 ",1440000,2013-09-30
Q3-14," 980,000 ",2040000,2014-09-30
Q3-15," 880,000 ",2740000,2015-09-30
Q3-16," 370,000 ",3200000,2016-09-30
Q3-17," 850,000 ",4450000,2017-09-30
Q3-18," 1,510,000 ",6070000,2018-09-30
