county,ded,townland_or_street,townland_to_map_url,townland_to_map
Antrim,Ardclinis,Aghalum,http://www.townlands.ie/antrim/glenarm-lower/ardclinis/aghalum,Aghalum
Antrim,Ardclinis,Ballyvelligan,http://www.townlands.ie/antrim/glenarm-lower/ardclinis/ballyvelligan,Ballyvelligan
Antrim,Ardclinis,Carnlough_North,http://www.townlands.ie/antrim/glenarm-lower/ardclinis/carnlough-north,Carnlough_North
Antrim,Ardclinis,Carnlough_Village_Carnlough_North,http://www.townlands.ie/antrim/glenarm-lower/ardclinis/carnlough-north,Carnlough_North
Antrim,Ardclinis,Carnlough_Village_Quay_Carnlough_North,http://www.townlands.ie/antrim/glenarm-lower/ardclinis/carnlough-north,Carnlough_North
Antrim,Ardclinis,Carnlough_Village_Croft_Road,http://www.townlands.ie/antrim/glenarm-lower/ardclinis/carnlough-north,Carnlough_North
Antrim,Ardclinis,Carnlough_Village_Harbour,http://www.townlands.ie/antrim/glenarm-lower/ardclinis/carnlough-north,Carnlough_North
Antrim,Ardclinis,Carnlough_Village_Largy_Road,http://www.townlands.ie/antrim/glenarm-lower/ardclinis/carnlough-north,Carnlough_North
Antrim,Ardclinis,Carnlough_South,http://www.townlands.ie/antrim/glenarm-lower/ardclinis/carnlough-south,Carnlough_South
Antrim,Ardclinis,Carnlough_Village_Carnlough_South,http://www.townlands.ie/antrim/glenarm-lower/ardclinis/carnlough-south,Carnlough_South
Antrim,Ardclinis,Carnlough_Village_Harbour_Road,http://www.townlands.ie/antrim/glenarm-lower/ardclinis/carnlough-south,Carnlough_South
Antrim,Ardclinis,Carnlough_Village_Havelock_Place,http://www.townlands.ie/antrim/glenarm-lower/ardclinis/carnlough-south,Carnlough_South
Antrim,Ardclinis,Carnlough_Village_Herbert_Street,http://www.townlands.ie/antrim/glenarm-lower/ardclinis/carnlough-south,Carnlough_South
Antrim,Ardclinis,Carnlough_Village_High_Street,http://www.townlands.ie/antrim/glenarm-lower/ardclinis/carnlough-south,Carnlough_South
Antrim,Ardclinis,Carnlough_Village_Waterfall_Road,http://www.townlands.ie/antrim/glenarm-lower/ardclinis/carnlough-south,Carnlough_South
Antrim,Ardclinis,Carrivereagh,http://www.townlands.ie/antrim/glenarm-lower/ardclinis/carrivereagh,Carrivereagh
Antrim,Ardclinis,Cloghcor,http://www.townlands.ie/antrim/glenarm-lower/ardclinis/cloghcor,Cloghcor
Antrim,Ardclinis,Galbally_Upper,http://www.townlands.ie/antrim/glenarm-lower/ardclinis/galboly-upper,Galbally_Upper
Antrim,Ardclinis,John_Gilans,http://www.townlands.ie/antrim/glenarm-lower/ardclinis/galboly-upper,Galbally_Upper
Antrim,Ardclinis,Gortnagory,http://www.townlands.ie/antrim/glenarm-lower/ardclinis/gortnagory,Gortnagory
Antrim,Ardclinis,Highlandtown,http://www.townlands.ie/antrim/glenarm-lower/ardclinis/highlandtown,Highlandtown
Antrim,Ardclinis,Scarryhill,http://www.townlands.ie/antrim/glenarm-lower/ardclinis/scaryhill,Scarryhill
Antrim,Ardclinis,Tamlaght,http://www.townlands.ie/antrim/glenarm-lower/ardclinis/tamlaght,Tamlaght
Antrim,Ardclinis,Warren,http://www.townlands.ie/antrim/glenarm-lower/ardclinis/warren,Warren
Antrim,Ballyclug,Ballycreggy,http://www.townlands.ie/antrim/antrim-lower/ballyclug/ballycreggy,Ballycreggy
Antrim,Ballyclug,Caherty,http://www.townlands.ie/antrim/antrim-lower/ballyclug/caherty,Caherty
Antrim,Broughshane,Aghnadore,http://www.townlands.ie/antrim/antrim-lower/racavan/aghnadore,Aghnadore
Antrim,Broughshane,Broughshane_Lower,http://www.townlands.ie/antrim/antrim-lower/racavan/broughshane-lower,Broughshane_Lower
Antrim,Broughshane,Broughshane_Upper,http://www.townlands.ie/antrim/antrim-lower/racavan/broughshane-upper,Broughshane_Upper
Antrim,Broughshane,Broughshane_Village_Broughshane_Upper,http://www.townlands.ie/antrim/antrim-lower/racavan/broughshane-upper,Broughshane_Upper
Antrim,Broughshane,Broughshane_Village,http://www.townlands.ie/antrim/antrim-lower/racavan/broughshane-upper,Broughshane_Upper
Antrim,Broughshane,Correen,http://www.townlands.ie/antrim/antrim-lower/skerry/correen,Correen
Antrim,Broughshane,Creevamoy,http://www.townlands.ie/antrim/antrim-lower/racavan/creevamoy,Creevamoy
Antrim,Broughshane,Drumleckney,http://www.townlands.ie/antrim/antrim-lower/racavan/drumleckney1,Drumleckney
