ZipCode,City,Population,Growth,Age,Income per household
75001,Addison TX,13825,0.1,32,57064
75006,Carrollton TX,48827,0.05,34,52798
75007,Carrollton TX,53428,0.03,37.6,70081
75011,Carrollton TX,,0,0,0
75014,Irving TX,,0,0,0
75015,Irving TX,,0,0,0
75016,Irving TX,,0,0,0
75017,Irving TX,,0,0,0
75019,Coppell TX,40062,0.03,37.7,96840
75028,Flower Mound TX,43154,0.02,38,91855
75030,Rowlett TX,,0,0,0
75038,Irving TX,30629,0.09,29.9,41506
75039,Irving TX,13499,0.18,31.3,56451
75040,Garland TX,61180,0.02,32.8,51679
75041,Garland TX,32093,0.04,30.9,38718
75042,Garland TX,39691,0.04,31.2,40111
75043,Garland TX,61149,0.04,34.8,50512
75044,Garland TX,41255,0.01,38.6,63889
75045,Garland TX,,0,0,0
75046,Garland TX,,0,0,0
75047,Garland TX,,0,0,0
75048,Sachse TX,21731,0.06,35.4,70667
75049,Garland TX,,0,0,0
75050,Grand Prairie TX,42667,0.03,30.8,39902
75051,Grand Prairie TX,38216,-0.02,29.3,34208
75052,Grand Prairie TX,89829,0,32.3,60254
75053,Grand Prairie TX,,0,0,0
75054,Grand Prairie TX,8698,0.41,32,0
75060,Irving TX,48679,0.05,32.2,43682
75061,Irving TX,56843,0.05,30.3,37330
75062,Irving TX,47640,0.06,32,45085
75063,Irving TX,37300,0.05,32.4,62199
75067,Lewisville TX,63767,0.04,30,52123
75080,Richardson TX,44128,0,34.7,55973
75081,Richardson TX,36816,0.07,37.4,60597
75082,Richardson TX,21687,0.02,39.6,100080
75083,Richardson TX,,0,0,0
75085,Richardson TX,,0,0,0
75088,Rowlett TX,25113,0.01,39.2,71263
75089,Rowlett TX,31154,0.02,34.8,70821
75098,Wylie TX,50753,0.05,32.5,60238
75099,Coppell TX,,0,0,0
75104,Cedar Hill TX,46252,0.01,34.2,60140
75106,Cedar Hill TX,,0,0,0
75115,Desoto TX,51529,0.05,37.7,57510
75116,Duncanville TX,20347,0.03,33.3,45314
75123,Desoto TX,,0,0,0
75125,Ferris TX,6834,0.02,33.2,44107
75134,Lancaster TX,19313,-0.04,31.3,40547
75137,Duncanville TX,19415,0.02,37.7,59459
75138,Duncanville TX,,0,0,0
75141,Hutchins TX,3281,-0.63,32.2,37043
75146,Lancaster TX,20202,0.1,33.8,46995
75148,Malakoff TX,5343,-0.09,44.8,29542
75149,Mesquite TX,58128,0.03,31.8,48245
75150,Mesquite TX,61003,0.03,32.5,46470
75154,Red Oak TX,38124,0.05,34.4,56975
75159,Seagoville TX,17127,-0.07,34.7,43737
75172,Wilmer TX,3888,-0.01,30.8,32337
75180,Balch Springs TX,24688,0.06,28.7,37208
75181,Mesquite TX,25777,0,33,67806
75182,Sunnyvale TX,5463,0.06,42.5,85725
75185,Mesquite TX,,0,0,0
75187,Mesquite TX,,0,0,0
75201,Dallas TX,9970,0.05,31.1,56675
75202,Dallas TX,2022,0.17,31.4,51688
75203,Dallas TX,16313,0.03,29.7,21993
75204,Dallas TX,28328,0.07,29.9,40649
75205,Dallas TX,22247,-0.03,33,73153
75206,Dallas TX,39551,0.08,30.9,41475
75207,Dallas TX,1103,-7.74,32.3,48750
75208,Dallas TX,31262,0.03,32.8,35135
75209,Dallas TX,15197,0.1,39.5,49669
75210,Dallas TX,8857,0.15,31.9,15058
75211,Dallas TX,74937,0.02,27.1,32702
75212,Dallas TX,26744,0.06,27.3,22555
75214,Dallas TX,34936,0.05,36.5,49878
75215,Dallas TX,17654,0.17,39.9,16043
75216,Dallas TX,51082,0.03,34.4,24960
75217,Dallas TX,84944,0.05,27.1,31532
75218,Dallas TX,22187,0.02,40.9,50652
75219,Dallas TX,25877,0.14,35.7,38588
75220,Dallas TX,45780,0.08,28.6,33515
75221,Dallas TX,,0,0,0
75222,Dallas TX,,0,0,0
75223,Dallas TX,15180,0.08,30.7,28607
75224,Dallas TX,36043,0.05,28.3,33515
75225,Dallas TX,23055,0.09,44.4,98838
75226,Dallas TX,3533,0,31.3,38911
75227,Dallas TX,57695,0.04,28.7,33428
75228,Dallas TX,68069,0.02,31,33685
75229,Dallas TX,32772,0.03,37.2,64067
75230,Dallas TX,28782,0.06,44,51702
75231,Dallas TX,43882,0.15,29.6,30090
75232,Dallas TX,30369,0.05,35.5,39824
75233,Dallas TX,14439,0.02,30.9,36869
75234,Dallas TX,29560,0.02,36.7,50386
75235,Dallas TX,17685,0.02,30.9,32030
75236,Dallas TX,16927,0.05,27.7,32957
75237,Dallas TX,18567,0.07,28.1,26270
75238,Dallas TX,31739,0.03,33.3,43294
75240,Dallas TX,27604,0.11,30,41521
75241,Dallas TX,29553,0.08,34.2,30300
75242,Dallas TX,,0,0,0
75243,Dallas TX,63755,0.13,31.5,37149
75244,Dallas TX,13453,0.01,36.6,51074
75246,Dallas TX,2975,0.06,32.5,21468
75247,Dallas TX,254,-0.84,57,15208
75248,Dallas TX,35503,0.05,42.5,69809
75249,Dallas TX,14304,0.06,31.7,51949
75250,Dallas TX,,0,0,0
75251,Dallas TX,2661,0.12,29.8,66755
75252,Dallas TX,25720,0.06,36.7,58257
75253,Dallas TX,21059,0.12,27.8,34537
75254,Dallas TX,24572,0.05,30.5,0
75260,Dallas TX,,0,0,0
75261,Dallas TX,,0,0,0
75262,Dallas TX,,0,0,0
75263,Dallas TX,,0,0,0
75264,Dallas TX,,0,0,0
75265,Dallas TX,,0,0,0
75266,Dallas TX,,0,0,0
75267,Dallas TX,,0,0,0
75270,Dallas TX,,0,0,0
75275,Dallas TX,,0,0,0
75277,Dallas TX,,0,0,0
75283,Dallas TX,,0,0,0
75284,Dallas TX,,0,0,0
75285,Dallas TX,,0,0,0
75287,Dallas TX,54115,0.09,31.3,45919
75301,Dallas TX,,0,0,0
75303,Dallas TX,,0,0,0
75312,Dallas TX,,0,0,0
75313,Dallas TX,,0,0,0
75315,Dallas TX,,0,0,0
75320,Dallas TX,,0,0,0
75326,Dallas TX,,0,0,0
75336,Dallas TX,,0,0,0
75339,Dallas TX,,0,0,0
75342,Dallas TX,,0,0,0
75354,Dallas TX,,0,0,0
75355,Dallas TX,,0,0,0
75356,Dallas TX,,0,0,0
75357,Dallas TX,,0,0,0
75358,Dallas TX,,0,0,0
75359,Dallas TX,,0,0,0
75360,Dallas TX,,0,0,0
75367,Dallas TX,,0,0,0
75368,Dallas TX,,0,0,0
75370,Dallas TX,,0,0,0
75371,Dallas TX,,0,0,0
75372,Dallas TX,,0,0,0
75373,Dallas TX,,0,0,0
75374,Dallas TX,,0,0,0
75376,Dallas TX,,0,0,0
75378,Dallas TX,,0,0,0
75379,Dallas TX,,0,0,0
75380,Dallas TX,,0,0,0
75381,Dallas TX,,0,0,0
75382,Dallas TX,,0,0,0
75389,Dallas TX,,0,0,0
75390,Dallas TX,,0,0,0
75391,Dallas TX,,0,0,0
75392,Dallas TX,,0,0,0
75393,Dallas TX,,0,0,0
75394,Dallas TX,,0,0,0
75395,Dallas TX,,0,0,0
